step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.12,3.62,26.0,1.017006,0.970949,0.5984,0.5134,0.5169,0.52,0.5033,28.97,222534892800.0,0.39
200,30.69,4.5,32.0,1.084057,0.943819,0.6046,0.5095,0.5133,0.5175,0.4978,57.26,444922329600.0,0.395
300,29.97,3.94,39.0,1.011472,0.934656,0.6061,0.5265,0.5147,0.5363,0.5284,85.57,667396569600.0,0.404
400,28.47,4.22,45.0,1.110255,0.927795,0.6104,0.527,0.52,0.5394,0.5217,113.82,889947360000.0,0.407
500,24.78,3.5,51.0,0.919287,0.923608,0.6121,0.5251,0.5217,0.5399,0.5137,142.06,1112460019200.0,0.424
600,29.75,4.06,58.0,0.981133,0.917364,0.6152,0.5306,0.5376,0.5418,0.5122,170.35,1334977689600.0,0.427
700,30.81,4.03,64.0,1.004955,0.913704,0.6102,0.5354,0.5435,0.5499,0.5127,198.63,1557489600000.0,0.432
800,29.78,4.56,71.0,1.138644,0.911646,0.6197,0.5398,0.5477,0.5532,0.5184,226.95,1780075123200.0,0.432
900,27.59,3.41,77.0,0.825779,0.910053,0.6181,0.5388,0.5425,0.555,0.519,255.37,2002571078400.0,0.436
1000,29.84,3.69,83.0,0.924156,0.908955,0.6174,0.5426,0.5419,0.5631,0.5229,283.72,2225007705600.0,0.442
1100,26.09,4.03,90.0,0.970489,0.907483,0.6206,0.5444,0.5379,0.5633,0.5318,312.08,2447461440000.0,0.448
1200,33.41,3.44,96.0,0.804953,0.907793,0.6187,0.5437,0.5342,0.5635,0.5335,340.61,2669975078400.0,0.453
1300,32.34,4.12,102.66,0.947199,0.90783,0.6191,0.5439,0.5342,0.5642,0.5332,368.95,2892400416000.0,0.46
1400,29.34,3.31,109.0,0.801271,0.908109,0.6178,0.5417,0.5364,0.5604,0.5283,397.31,3114875750400.0,0.463
1500,32.25,3.94,115.0,0.90104,0.90775,0.6176,0.5451,0.5489,0.5655,0.5208,425.65,3337253280000.0,0.471
1600,26.78,3.19,122.0,0.74971,0.90676,0.6193,0.551,0.5642,0.5704,0.5183,454.03,3559706323200.0,0.478
1700,30.16,3.31,128.0,0.817881,0.905465,0.6193,0.5519,0.5697,0.5697,0.5164,482.4,3782250662400.0,0.481
1800,30.0,4.22,134.0,1.005681,0.905563,0.619,0.5513,0.5705,0.5624,0.521,510.8,4004639654400.0,0.487
1900,27.56,3.88,141.0,0.905763,0.907452,0.6184,0.5502,0.572,0.5575,0.521,539.18,4227153235200.0,0.491
2000,36.44,4.06,147.0,0.980463,0.909387,0.6182,0.55,0.5749,0.5571,0.5181,567.57,4449638880000.0,0.499
2100,35.91,3.75,154.0,0.901074,0.905831,0.6199,0.5584,0.582,0.5608,0.5323,595.93,4672112025600.0,0.511
2200,29.03,3.47,160.0,0.816074,0.902494,0.6214,0.5713,0.5959,0.5679,0.5501,624.34,4894613049600.0,0.524
2300,35.25,3.66,167.0,0.927995,0.902796,0.6242,0.5798,0.5987,0.5763,0.5644,652.63,5117087404800.0,0.536
2400,34.38,3.69,173.0,0.883008,0.903921,0.6218,0.5814,0.604,0.5736,0.5665,680.9,5339555308800.0,0.549
2500,32.19,3.88,179.0,0.966914,0.906429,0.6206,0.584,0.6068,0.5734,0.5717,709.2,5562012211200.0,0.56
