step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,97.94,0.884959,1.10197,0.5435,0.5012,0.4979,0.4828,0.523,37.94,1348857273600.0,0.063
200,7.0,96.78,1.008731,1.05786,0.5585,0.5258,0.5052,0.5256,0.5466,74.12,3466758009600.0,0.102
300,9.0,102.84,0.949249,1.038798,0.5674,0.5397,0.5444,0.5273,0.5473,109.99,6343312262400.0,0.102
400,11.0,99.34,0.986313,1.027089,0.5725,0.5465,0.5631,0.5323,0.5441,145.31,9974695968000.0,0.116
500,14.0,102.19,0.996685,1.01538,0.5775,0.5586,0.5789,0.5336,0.5635,180.85,14393598912000.0,0.139
600,16.0,99.12,1.029875,1.006732,0.5807,0.5817,0.5984,0.5694,0.5773,216.49,19624621248000.0,0.157
700,18.0,117.66,0.90953,1.002342,0.5835,0.5898,0.6025,0.5835,0.5833,252.02,25638021504000.0,0.172
800,21.0,93.28,1.132987,0.996299,0.5929,0.5948,0.6127,0.5888,0.5831,287.71,32457583353600.0,0.196
900,23.0,92.75,1.080656,0.994429,0.5941,0.5978,0.6166,0.5971,0.5796,323.38,40110492384000.0,0.21
1000,25.0,90.59,0.990347,0.992345,0.5943,0.5969,0.6106,0.6034,0.5769,359.04,48551649523200.0,0.225
1100,28.0,85.06,0.909387,0.9917,0.5924,0.598,0.608,0.6108,0.575,394.72,57811874169600.0,0.247
1200,30.0,107.38,1.052975,0.988139,0.5933,0.5963,0.6036,0.6094,0.5758,430.42,67902906182400.0,0.267
1300,32.0,108.41,1.077643,0.986054,0.5956,0.5923,0.6006,0.6015,0.5748,466.31,78800243040000.0,0.28
1400,35.0,106.28,0.989647,0.985483,0.5979,0.5935,0.6048,0.6036,0.5722,502.48,90527536569600.0,0.301
1500,37.0,88.75,1.000323,0.987526,0.5968,0.5932,0.6019,0.6053,0.5724,538.77,103149523526400.0,0.321
1600,39.0,93.47,0.948043,0.987096,0.5958,0.5936,0.5991,0.61,0.5716,574.74,116588534803200.0,0.339
1700,42.0,102.94,1.047332,0.986769,0.5961,0.5977,0.599,0.619,0.575,610.95,130872186950400.0,0.357
1800,44.0,107.56,0.842971,0.985719,0.5978,0.5986,0.6021,0.619,0.5746,647.12,146063647699200.0,0.376
1900,46.0,99.53,0.858522,0.989815,0.5994,0.6004,0.604,0.6216,0.5754,683.51,162092237011200.0,0.393
2000,48.0,107.62,0.844989,0.995562,0.5989,0.6029,0.6074,0.6236,0.5777,720.98,178967266732800.0,0.409
2100,51.0,97.34,0.807596,0.994637,0.5995,0.6028,0.6067,0.6251,0.5764,757.75,196762238553600.0,0.439
2200,53.0,103.81,0.921623,0.994128,0.6008,0.6009,0.6053,0.6236,0.5739,794.6,215424116352000.0,0.449
2300,55.0,101.78,0.913849,0.990421,0.6001,0.5986,0.603,0.6228,0.57,832.11,234955341964800.0,0.47
2400,58.0,95.53,1.052933,0.988221,0.5986,0.5973,0.6014,0.6219,0.5687,870.7,255381239232000.0,0.493
2500,60.0,108.47,0.922286,0.984618,0.5984,0.5989,0.6033,0.6217,0.5717,909.68,276695861068800.0,0.51
