step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,58.0,3.59,103.09,1.033456,1.049607,0.5596,0.5103,0.5017,0.5108,0.5184,29.92,227610547200.0,0.559
200,55.0,4.59,95.19,1.249603,1.035192,0.5527,0.5147,0.5093,0.5049,0.53,59.08,454798771200.0,0.541
300,53.0,3.5,102.88,0.816267,1.02972,0.5564,0.5149,0.5235,0.4995,0.5217,88.2,681559027200.0,0.516
400,51.0,3.47,88.66,0.931823,1.014883,0.5632,0.5098,0.52,0.5038,0.5056,117.29,907900646400.0,0.502
500,48.34,3.59,86.44,0.857531,1.017392,0.5601,0.5202,0.5205,0.5311,0.5091,146.33,1133822073600.0,0.488
600,46.0,4.41,99.72,1.137251,1.01957,0.5616,0.5212,0.5122,0.5316,0.52,175.36,1359294508800.0,0.456
700,44.0,3.81,98.88,0.905362,1.018126,0.5643,0.5246,0.5157,0.5273,0.5307,204.33,1584350956800.0,0.443
800,42.0,4.0,96.91,1.008481,1.012695,0.5641,0.5259,0.5153,0.527,0.5355,233.32,1808993260800.0,0.425
900,39.0,3.66,100.0,0.924551,1.007035,0.5688,0.5326,0.5222,0.5342,0.5414,262.32,2033183289600.0,0.401
1000,37.0,3.78,85.0,0.897709,1.004211,0.567,0.5339,0.5187,0.5397,0.5433,291.3,2256949497600.0,0.389
1100,35.0,3.78,91.75,0.932291,1.00248,0.57,0.5339,0.514,0.5403,0.5473,320.29,2480302944000.0,0.371
1200,32.0,3.47,109.09,0.835219,1.000888,0.5737,0.5329,0.5118,0.5421,0.5447,349.32,2703201120000.0,0.345
1300,30.0,4.22,94.19,1.022575,0.998586,0.5731,0.5342,0.5193,0.5443,0.539,378.34,2925673862400.0,0.327
1400,28.0,3.66,75.91,0.917758,0.997856,0.5717,0.5366,0.519,0.552,0.5388,407.34,3147730387200.0,0.317
1500,25.0,3.09,112.84,0.79121,0.996053,0.5707,0.5446,0.5264,0.5586,0.5488,436.34,3369354969600.0,0.296
1600,23.0,3.91,92.09,0.999257,0.99397,0.5714,0.5565,0.5355,0.5726,0.5614,465.3,3590550547200.0,0.277
1700,21.0,3.56,98.59,0.824083,0.988605,0.5743,0.56,0.5245,0.5862,0.5693,494.19,3811330310400.0,0.259
1800,18.0,3.06,99.97,0.777128,0.982342,0.5786,0.5693,0.5299,0.6008,0.5771,523.06,4031667187200.0,0.245
1900,16.0,3.72,96.84,0.97781,0.977575,0.5816,0.5775,0.5464,0.6041,0.582,551.88,4251572352000.0,0.222
2000,14.0,3.91,97.59,0.98105,0.974446,0.5848,0.5779,0.5457,0.6024,0.5855,580.64,4471055424000.0,0.206
2100,11.0,3.78,100.06,0.966922,0.972074,0.5868,0.5817,0.5512,0.6021,0.592,609.28,4690096992000.0,0.187
2200,9.0,3.75,86.97,0.901751,0.975265,0.5928,0.5834,0.5535,0.5993,0.5975,638.26,4908707078400.0,0.17
2300,7.0,3.28,116.62,0.82226,0.982691,0.589,0.5835,0.5517,0.6015,0.5973,666.5,5126900486400.0,0.17
2400,4.0,3.12,103.38,0.778334,0.99828,0.5832,0.5846,0.5548,0.6007,0.5983,694.74,5344671916800.0,0.17
2500,2.0,3.09,94.78,0.724512,1.026778,0.5815,0.5871,0.5637,0.5985,0.5991,722.86,5562012211200.0,0.17
