step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,0.884966,0.997797,0.5943,0.5171,0.5096,0.5085,0.5332,28.84,217340294400.0,0.114
200,7.0,1.008745,0.96152,0.6092,0.5183,0.5302,0.4908,0.534,57.43,435111724800.0,0.162
300,9.0,0.947359,0.959677,0.6093,0.5275,0.5388,0.519,0.5247,85.88,653305132800.0,0.162
400,11.0,0.98663,0.949817,0.6058,0.5385,0.5713,0.5373,0.5069,114.4,871915219200.0,0.166
500,14.0,0.997534,0.941409,0.6072,0.5419,0.5774,0.541,0.5073,143.06,1090956787200.0,0.189
600,16.0,1.030784,0.932768,0.6127,0.561,0.5945,0.5492,0.5393,171.79,1310439859200.0,0.204
700,18.0,0.913668,0.923875,0.6116,0.5751,0.6059,0.5695,0.5498,200.54,1530345024000.0,0.222
800,21.0,1.131021,0.92093,0.6165,0.5723,0.6033,0.57,0.5436,229.35,1750681900800.0,0.243
900,23.0,1.077367,0.918801,0.6198,0.5817,0.6067,0.5825,0.5559,258.18,1971461664000.0,0.259
1000,25.0,0.989321,0.918381,0.6165,0.583,0.6018,0.586,0.5612,287.02,2192657241600.0,0.277
1100,28.0,0.904108,0.918296,0.6137,0.5826,0.5946,0.5893,0.5639,315.92,2414281824000.0,0.298
1200,30.0,1.0548,0.918453,0.6164,0.5859,0.5938,0.5986,0.5654,344.82,2636338348800.0,0.316
1300,32.0,1.071036,0.914881,0.6175,0.5878,0.5966,0.6018,0.5649,373.72,2858811091200.0,0.328
1400,35.0,0.987711,0.914545,0.6164,0.5897,0.6008,0.6027,0.5656,402.67,3081709267200.0,0.354
1500,37.0,1.002796,0.916243,0.6162,0.5908,0.6042,0.5996,0.5686,431.68,3305062713600.0,0.368
1600,39.0,0.949199,0.914625,0.6188,0.5926,0.6101,0.6,0.5678,460.75,3528828921600.0,0.385
1700,42.0,1.055018,0.914792,0.6202,0.591,0.6064,0.5995,0.5671,489.82,3753018950400.0,0.407
1800,44.0,0.843671,0.914737,0.6208,0.5886,0.6025,0.5966,0.5666,518.9,3977661254400.0,0.426
1900,46.0,0.856521,0.914197,0.6219,0.5893,0.6025,0.5988,0.5665,548.01,4202717702400.0,0.441
2000,48.0,0.846912,0.915034,0.6243,0.587,0.5983,0.5984,0.5643,577.22,4428190137600.0,0.457
2100,51.0,0.809054,0.922299,0.619,0.5877,0.5985,0.601,0.5635,606.36,4654111564800.0,0.489
2200,53.0,0.924303,0.921588,0.6174,0.5871,0.5978,0.6042,0.5592,635.7,4880453184000.0,0.501
2300,55.0,0.915213,0.919512,0.6163,0.5873,0.5974,0.6037,0.5608,664.73,5107213440000.0,0.521
2400,58.0,1.053627,0.918819,0.6167,0.5878,0.5978,0.6041,0.5613,693.84,5334401664000.0,0.541
2500,60.0,0.923712,0.915483,0.6174,0.5868,0.5996,0.6015,0.5594,722.99,5562012211200.0,0.56
