step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.94,85.94,1.055573,1.071078,0.5484,0.5358,0.5464,0.5229,0.5381,220.7,11009750860800.0,0.507
200,31.38,103.97,0.945345,1.032575,0.5681,0.5193,0.503,0.5311,0.5237,406.38,21920901868800.0,0.498
300,32.84,101.44,1.153789,1.014296,0.5717,0.53,0.5227,0.5409,0.5265,593.03,32951589177600.0,0.501
400,34.25,90.97,1.028838,1.006088,0.5723,0.5398,0.5327,0.5384,0.5483,806.44,43850376864000.0,0.498
500,35.62,93.22,0.871846,0.999671,0.5737,0.557,0.5673,0.537,0.5668,1024.86,54924965913600.0,0.491
600,28.91,102.06,1.032232,0.993908,0.5742,0.5667,0.5874,0.5447,0.568,1244.39,66023171366400.0,0.492
700,30.0,109.47,0.761652,0.985026,0.5783,0.5732,0.5852,0.5639,0.5705,1460.38,77168823724800.0,0.495
800,31.91,93.31,0.901137,0.976012,0.5905,0.5862,0.5966,0.5834,0.5785,1674.87,88312714560000.0,0.492
900,33.47,101.47,0.8343,0.971319,0.5896,0.5862,0.5948,0.5862,0.5776,1884.47,99224739417600.0,0.501
1000,28.25,89.69,1.000819,0.971006,0.5881,0.5822,0.5819,0.5859,0.5789,2098.5,110317842432000.0,0.509
1100,33.81,94.59,0.82666,0.970414,0.5914,0.583,0.5832,0.5911,0.5746,2316.38,121280613120000.0,0.492
1200,28.53,97.03,1.017883,0.968882,0.5904,0.5855,0.5879,0.595,0.5735,2529.75,132298223961600.0,0.496
1300,30.03,114.62,0.990237,0.966821,0.5931,0.5881,0.5903,0.5996,0.5744,2738.15,143134095859200.0,0.503
1400,29.03,96.72,0.828707,0.964573,0.5977,0.5895,0.5924,0.6008,0.5753,2930.09,154223702784000.0,0.498
1500,29.69,101.25,0.880775,0.962478,0.599,0.5899,0.5954,0.6017,0.5726,3118.96,165338954438400.0,0.509
1600,25.78,100.22,0.929626,0.960136,0.598,0.5921,0.6004,0.6013,0.5748,3309.31,176329765900800.0,0.509
1700,32.78,86.28,0.879921,0.958521,0.5997,0.594,0.6018,0.6048,0.5753,3498.82,187210511193600.0,0.496
1800,26.09,107.94,0.882279,0.95656,0.6012,0.597,0.6049,0.6076,0.5785,3685.59,198169490822400.0,0.495
1900,25.66,104.84,0.745862,0.954388,0.5981,0.5981,0.6088,0.6058,0.5796,3875.03,209328874041600.0,0.507
2000,30.78,114.81,0.795723,0.951963,0.6009,0.5992,0.6095,0.6063,0.5818,4064.83,220306980729600.0,0.503
2100,25.41,104.75,0.943303,0.950707,0.6007,0.6009,0.6119,0.6106,0.5803,4252.18,231420287001600.0,0.509
2200,29.59,94.59,0.832371,0.949939,0.6006,0.6013,0.6136,0.6107,0.5795,4441.22,242598600633600.0,0.507
2300,30.91,98.66,0.780362,0.949131,0.603,0.603,0.6151,0.6131,0.5808,4633.98,253580803200000.0,0.503
2400,27.72,104.84,0.814837,0.948617,0.604,0.6046,0.6165,0.6155,0.5819,4824.98,264510418233600.0,0.498
2500,31.62,84.03,0.791864,0.94759,0.6044,0.6044,0.6177,0.6156,0.5799,5022.29,275530300358400.0,0.509
