step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,2.94,101.97,1.21393,1.102578,0.5386,0.5289,0.5336,0.5229,0.5302,152.96,1157377248000.0,0.063
200,4.09,117.97,0.822933,1.048428,0.5543,0.5461,0.5669,0.5309,0.5405,303.06,2701740096000.0,0.102
300,5.69,95.06,1.039848,1.017758,0.5783,0.5665,0.587,0.5619,0.5504,450.91,4620877632000.0,0.102
400,6.5,94.06,1.03215,0.998688,0.586,0.5736,0.5928,0.5818,0.5462,600.65,6952772505600.0,0.115
500,7.75,100.72,0.856111,0.988013,0.5917,0.5799,0.5995,0.5849,0.5552,749.81,9636829804800.0,0.139
600,8.59,103.53,1.064754,0.981836,0.592,0.5847,0.6074,0.5881,0.5587,897.0,12716498880000.0,0.153
700,9.16,110.5,0.794831,0.974571,0.5974,0.5914,0.6015,0.5975,0.5753,1045.83,16187527987200.0,0.17
800,12.81,119.09,0.828559,0.968379,0.5994,0.5919,0.6061,0.5957,0.5738,1198.45,20000963059200.0,0.178
900,10.78,99.56,0.798104,0.965132,0.6019,0.5918,0.6029,0.597,0.5755,1354.16,24260258764800.0,0.199
1000,14.19,79.91,0.827236,0.95937,0.6021,0.5949,0.6082,0.5988,0.5776,1510.51,28958208998400.0,0.215
1100,16.75,107.41,0.99787,0.956373,0.6037,0.5949,0.6097,0.5992,0.576,1666.13,33994777420800.0,0.238
1200,17.84,97.5,1.111015,0.955516,0.6021,0.5961,0.6102,0.6022,0.576,1823.4,39474289440000.0,0.259
1300,18.31,98.09,1.126896,0.953478,0.6012,0.5988,0.6117,0.6076,0.5769,1992.22,45288087552000.0,0.274
1400,17.19,104.75,0.821542,0.952447,0.6031,0.599,0.611,0.6082,0.5778,2157.34,51569914464000.0,0.288
1500,20.38,93.06,0.861236,0.951442,0.6008,0.6,0.6131,0.6083,0.5788,2314.86,58201226611200.0,0.302
1600,20.5,109.66,0.927241,0.948961,0.6028,0.6044,0.62,0.6124,0.5807,2474.72,65209364409600.0,0.328
1700,20.16,98.0,0.86358,0.946664,0.602,0.6081,0.6226,0.6154,0.5863,2638.95,72637217164800.0,0.344
1800,20.75,102.5,1.042345,0.944293,0.602,0.6074,0.6208,0.6177,0.5836,2807.44,80488322092800.0,0.376
1900,22.69,100.22,0.916465,0.943182,0.6,0.6076,0.6211,0.6179,0.584,2980.89,88846970515200.0,0.374
2000,25.31,92.16,1.094731,0.942177,0.6002,0.6077,0.6219,0.6181,0.5831,3147.39,97468589779200.0,0.41
2100,27.12,92.16,0.97417,0.941037,0.6008,0.6099,0.6253,0.6193,0.5852,3316.93,106572706560000.0,0.416
2200,28.66,110.12,0.858388,0.940876,0.6014,0.6117,0.6261,0.6201,0.5887,3490.1,116205924844800.0,0.444
2300,31.5,91.53,0.916844,0.940586,0.6016,0.6125,0.6245,0.6236,0.5894,3669.57,126301537440000.0,0.464
2400,26.53,110.47,0.998177,0.939378,0.6035,0.6134,0.6268,0.6249,0.5887,3847.63,136576213516800.0,0.476
2500,35.38,112.16,0.777478,0.938104,0.6037,0.6138,0.6278,0.6262,0.5875,4023.72,147345008256000.0,0.483
