step,toy_roc_auc
100,0.3806
200,0.5081
300,0.5772
400,0.6856
500,0.5409
600,0.7117
700,0.7401
800,0.7803
900,0.8218
1000,0.8158
1100,0.8056
1200,0.8022
1300,0.7865
1400,0.7712
1500,0.7650
1600,0.7610
1700,0.7583
1800,0.7630
1900,0.8034
2000,0.8421
2100,0.8696
2200,0.8884
2300,0.8970
2400,0.9100
2500,0.9198
2600,0.9215
2700,0.9104
2800,0.9097
2900,0.9018
3000,0.8893
3100,0.8844
3200,0.8822
3300,0.8832
3400,0.8855
3500,0.8895
3600,0.9025
3700,0.9107
3800,0.9160
3900,0.9250
4000,0.9238
4100,0.9255
4200,0.9273
4300,0.9292
4400,0.9314
4500,0.9342
4600,0.9329
4700,0.9338
4800,0.9288
4900,0.9225
5000,0.9144
5100,0.9100
5200,0.9027
5300,0.9074
5400,0.9083
5500,0.9053
5600,0.9044
5700,0.9039
5800,0.9049
5900,0.9049
6000,0.9049
6100,0.8983
6200,0.8969
6300,0.8947
6400,0.8947
6500,0.8943
6600,0.8912
6700,0.8935
6800,0.8940
6900,0.8976
7000,0.9012
7100,0.9071
7200,0.9062
7300,0.9062
7400,0.9062
7500,0.9062
7600,0.9062
7700,0.9062
7800,0.9062
7900,0.9085
8000,0.9107
8100,0.9107
8200,0.9102
8300,0.9125
8400,0.9191
8500,0.9214
8600,0.9214
8700,0.9236
8800,0.9280
8900,0.9302
9000,0.9302
9100,0.9325
9200,0.9325
9300,0.9369
9400,0.9391
9500,0.9414
9600,0.9458
9700,0.9480
9800,0.9480
9900,0.9485
10000,0.9507
