step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,89.647,89.647,1.199135,58.274
200,99.675,189.322,1.065282,64.130
300,93.444,282.766,1.021497,63.748
400,94.187,376.953,1.003007,58.948
500,98.662,475.616,0.986466,63.999
600,103.570,579.186,0.980806,65.510
700,82.831,662.017,0.972774,61.518
800,103.802,765.818,0.977976,62.106
900,87.659,853.477,0.974717,63.003
1000,94.760,948.237,0.964123,62.251
1100,82.079,1030.316,0.949606,63.620
1200,85.552,1115.868,0.951429,57.536
1300,91.081,1206.949,0.948857,58.289
1400,101.347,1308.296,0.978789,64.145
1500,97.283,1405.579,0.963272,63.763
1600,105.449,1511.027,0.958454,58.963
1700,102.863,1613.891,0.949851,64.014
1800,108.477,1722.367,0.949878,65.525
1900,82.122,1804.490,0.947469,61.533
2000,101.701,1906.191,0.956849,62.121
2100,89.274,1995.464,0.954662,63.018
2200,98.691,2094.156,0.945440,62.266
2300,86.923,2181.079,0.932910,63.635
2400,95.142,2276.221,0.934952,57.551
2500,93.157,2369.378,0.934909,58.289
2600,101.530,2470.908,0.963996,64.145
2700,99.367,2570.275,0.949632,63.763
2800,107.758,2678.033,0.946920,58.963
2900,106.480,2784.513,0.939756,64.014
3000,108.130,2892.643,0.939034,65.525
3100,88.903,2981.546,0.938671,61.533
3200,112.982,3094.527,0.948511,62.121
3300,92.433,3186.961,0.945736,63.018
3400,101.901,3288.861,0.938265,62.266
3500,90.450,3379.311,0.926008,63.635
3600,96.861,3476.172,0.929249,57.551
3700,83.569,3559.741,0.929762,58.289
3800,101.324,3661.065,0.957986,64.145
3900,97.832,3758.897,0.941698,63.763
4000,105.603,3864.500,0.939701,58.963
4100,103.441,3967.941,0.933921,64.014
4200,108.758,4076.700,0.924382,65.525
4300,88.066,4164.765,0.928803,61.533
4400,111.391,4276.156,0.937044,62.121
4500,89.798,4365.954,0.932375,63.018
4600,98.677,4464.631,0.926226,62.266
4700,87.250,4551.881,0.912519,63.635
4800,93.266,4645.147,0.920185,57.551
4900,88.638,4733.785,0.919126,58.289
5000,102.014,4835.799,0.946663,64.145
5100,97.812,4933.611,0.928256,63.763
5200,106.799,5040.410,0.930421,58.963
5300,106.903,5147.312,0.927275,64.014
5400,112.362,5259.674,0.913618,65.525
5500,90.513,5350.187,0.920736,61.533
5600,109.256,5459.444,0.929435,62.121
5700,89.212,5548.656,0.925596,63.018
5800,99.265,5647.921,0.919556,62.266
5900,86.292,5734.213,0.906468,63.635
6000,90.307,5824.521,0.915465,57.551
6100,88.504,5913.025,0.914209,58.289
6200,101.167,6014.191,0.942205,64.145
6300,98.652,6112.843,0.923849,63.763
6400,98.056,6210.899,0.926214,58.963
6500,90.959,6301.858,0.923575,64.014
6600,95.897,6397.755,0.908293,65.525
6700,80.493,6478.247,0.916792,61.533
6800,96.798,6575.045,0.925702,62.121
6900,81.204,6656.249,0.921678,63.018
7000,89.596,6745.845,0.915943,62.266
7100,79.669,6825.514,0.902916,63.635
7200,82.835,6908.348,0.912599,57.551
7300,87.974,6996.322,0.911432,58.289
7400,102.693,7099.015,0.939567,64.145
7500,99.345,7198.359,0.920891,63.763
7600,107.847,7306.206,0.923706,58.963
7700,106.469,7412.676,0.921297,64.014
7800,110.257,7522.933,0.904381,65.525
7900,89.185,7612.118,0.914372,61.533
8000,112.700,7724.818,0.923008,62.121
8100,92.989,7817.807,0.919035,63.018
8200,101.998,7919.805,0.913319,62.266
8300,90.872,8010.676,0.900356,63.635
8400,94.447,8105.123,0.910455,57.551
8500,92.863,8197.986,0.909322,58.289
8600,99.912,8297.898,0.937469,64.145
8700,95.710,8393.608,0.918335,63.763
8800,101.841,8495.450,0.921712,58.963
8900,99.594,8595.044,0.919545,64.014
9000,104.628,8699.671,0.901024,65.525
9100,83.823,8783.494,0.912340,61.533
9200,103.769,8887.263,0.920730,62.121
9300,86.973,8974.236,0.916680,63.018
9400,95.683,9069.919,0.910942,62.266
9500,85.167,9155.086,0.898127,63.635
9600,90.016,9245.102,0.908476,57.551
9700,87.613,9332.715,0.907321,58.289
9800,97.325,9430.040,0.935371,64.145
9900,95.907,9525.946,0.915818,63.763
10000,104.520,9630.466,0.919702,58.963
