epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.694,5.694,1.446565,1.890
2,4.662,10.356,1.212580,1.875
3,4.147,14.503,1.108488,1.853
4,4.550,19.053,1.202822,1.871
5,4.611,23.664,1.072281,1.869
6,4.421,28.085,1.161391,1.925
7,4.660,32.745,1.007603,1.826
8,4.362,37.106,0.971428,1.749
9,4.467,41.573,1.037984,1.766
10,4.353,45.926,1.042598,1.959
11,4.292,50.218,1.082750,1.858
12,4.397,54.616,0.983611,1.761
13,4.322,58.938,0.976152,1.894
14,4.406,63.344,1.018133,1.840
15,4.765,68.109,1.030640,1.903
16,4.675,72.785,1.094776,1.904
17,4.569,77.354,0.995380,1.959
18,4.568,81.921,1.087856,1.894
19,4.572,86.494,1.024510,1.971
20,4.817,91.311,1.081530,1.892
21,4.155,95.465,1.045004,1.746
22,4.881,100.346,1.032612,1.873
23,4.406,104.752,0.993251,1.900
24,4.741,109.493,1.007032,1.869
25,4.809,114.302,1.165287,1.959
26,4.658,118.960,1.018510,1.842
27,4.188,123.148,1.110333,1.882
28,4.035,127.183,0.999027,1.892
29,4.690,131.873,1.044598,1.830
30,4.152,136.025,0.959578,1.882
31,4.225,140.250,0.993978,1.838
32,4.584,144.834,1.020414,1.900
33,4.914,149.748,0.897864,1.886
34,4.074,153.821,0.940102,1.978
35,4.301,158.122,0.960604,1.746
36,4.330,162.452,0.917244,1.973
37,4.392,166.844,1.082890,1.892
38,4.047,170.890,0.905473,1.947
39,4.058,174.948,0.956013,1.842
40,4.456,179.404,0.985013,1.864
41,4.390,183.794,1.101440,1.756
42,4.321,188.115,1.017065,1.859
43,4.382,192.498,0.954915,1.910
44,4.326,196.823,0.848605,1.913
45,4.401,201.225,1.138589,1.894
46,4.389,205.614,0.875867,1.803
47,4.187,209.801,1.068747,1.782
48,4.283,214.085,1.081223,1.849
49,4.168,218.253,1.021804,1.827
50,4.490,222.743,1.015672,1.951
51,4.244,226.987,0.967733,1.811
52,3.974,230.961,0.931821,1.925
53,4.644,235.605,1.043641,1.815
54,4.194,239.799,0.906343,1.978
55,4.012,243.811,1.010455,1.978
56,4.247,248.058,1.087668,1.839
57,4.337,252.395,0.968812,1.910
58,4.139,256.534,0.955053,1.855
59,4.429,260.962,1.120952,1.952
60,4.212,265.174,0.974820,1.857
61,4.553,269.727,0.977201,1.773
62,4.283,274.011,0.927783,1.962
63,4.176,278.187,0.948103,1.825
64,4.341,282.528,0.914396,1.863
65,4.321,286.849,1.037869,1.839
66,4.235,291.084,0.923867,1.855
67,4.217,295.301,0.971273,1.782
68,3.948,299.249,0.894436,1.871
69,4.496,303.745,1.051145,1.890
70,4.025,307.769,0.993521,1.942
71,4.459,312.229,0.949909,1.947
72,4.202,316.430,1.065440,1.893
73,4.155,320.586,0.912747,1.791
74,4.722,325.308,0.991781,1.863
75,4.198,329.506,0.908043,1.810
76,4.114,333.620,0.923479,1.915
77,4.165,337.785,0.905617,1.954
78,4.413,342.198,1.020688,1.896
79,4.272,346.470,0.839251,1.845
80,4.363,350.833,1.154869,1.929
81,4.623,355.456,1.065983,1.763
82,4.371,359.827,0.921938,1.896
83,4.178,364.005,0.903544,1.938
84,4.158,368.163,0.900945,1.904
85,4.264,372.428,0.993698,1.913
86,4.445,376.872,1.033528,1.968
87,4.170,381.042,0.876674,1.897
88,4.456,385.499,0.856835,1.827
89,4.196,389.695,1.027308,1.870
90,4.586,394.281,1.040477,1.882
91,4.534,398.814,0.928131,1.987
92,4.266,403.081,0.939084,1.910
93,4.134,407.215,0.978091,1.915
94,4.280,411.495,0.983257,1.961
95,4.344,415.838,0.926140,1.882
96,4.242,420.081,0.940450,1.909
97,3.974,424.055,0.881680,1.733
98,4.338,428.394,0.924382,1.964
99,4.424,432.818,0.921928,1.910
100,4.352,437.169,0.911283,1.791
