epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.105,5.105,1.446565,1.890
2,4.688,9.794,1.212580,1.875
3,4.142,13.936,1.108488,1.853
4,4.744,18.680,1.202822,1.871
5,4.707,23.387,1.072281,1.869
6,4.595,27.982,1.161391,1.925
7,4.794,32.776,1.007603,1.826
8,4.492,37.268,0.971428,1.749
9,4.590,41.858,1.037984,1.766
10,4.461,46.319,1.042598,1.959
11,4.348,50.667,1.082750,1.858
12,4.511,55.179,0.983611,1.761
13,4.437,59.616,0.976152,1.894
14,4.357,63.973,1.018133,1.840
15,4.713,68.686,1.030640,1.903
16,4.587,73.273,1.094776,1.904
17,4.561,77.833,0.995380,1.959
18,4.636,82.470,1.087856,1.894
19,4.617,87.086,1.024510,1.971
20,4.837,91.923,1.081530,1.892
