epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,79.192,79.192,1.123620,16.439
2,73.242,152.434,0.989182,16.153
3,71.701,224.135,0.989044,16.012
4,68.705,292.840,0.974605,15.431
5,71.867,364.706,0.981811,16.150
6,69.440,434.146,0.933765,15.586
7,63.699,497.845,0.967139,15.867
8,58.306,556.151,0.938448,15.036
9,78.555,634.706,0.929193,14.835
10,62.850,697.555,0.922493,15.517
11,68.845,766.400,0.923243,14.835
12,63.819,830.220,0.933126,15.935
13,73.768,903.988,0.934548,16.440
14,72.035,976.023,0.920338,16.154
15,75.216,1051.239,0.937947,16.013
16,69.674,1120.913,0.938253,15.432
17,66.376,1187.289,0.948416,16.151
18,70.602,1257.891,0.903019,15.587
19,63.560,1321.452,0.937847,15.868
20,56.571,1378.023,0.912193,15.037
21,70.796,1448.819,0.901287,14.836
22,61.262,1510.081,0.894333,15.518
23,65.831,1575.911,0.897260,14.836
24,61.913,1637.824,0.904776,15.937
25,69.522,1707.346,0.914460,16.440
26,72.712,1780.058,0.896542,16.154
27,74.418,1854.477,0.913378,16.013
28,72.196,1926.672,0.921160,15.432
29,75.824,2002.496,0.937517,16.151
30,80.014,2082.511,0.889318,15.587
31,70.186,2152.697,0.924550,15.868
32,62.108,2214.805,0.900781,15.037
33,79.902,2294.707,0.890779,14.836
34,66.144,2360.852,0.885150,15.518
35,70.013,2430.865,0.887830,14.836
36,66.817,2497.681,0.895992,15.937
37,75.576,2573.257,0.905186,16.440
38,71.103,2644.360,0.889509,16.154
39,70.316,2714.677,0.904919,16.013
40,69.842,2784.519,0.915020,15.432
41,66.091,2850.610,0.933772,16.151
42,76.792,2927.401,0.883577,15.587
43,67.852,2995.253,0.916269,15.868
44,61.089,3056.342,0.895517,15.037
45,80.948,3137.290,0.885235,14.836
46,66.487,3203.777,0.879285,15.518
47,69.411,3273.188,0.883375,14.836
48,66.223,3339.411,0.891265,15.937
49,73.533,3412.944,0.901679,16.440
50,71.046,3483.990,0.885597,16.154
