epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.861,4.861,0.728192,1.840
2,4.822,9.683,0.535888,1.902
3,4.417,14.099,0.526494,1.855
4,4.340,18.440,0.464875,1.826
5,4.463,22.903,0.499856,1.847
6,4.244,27.147,0.505046,1.844
7,4.588,31.735,0.506172,1.928
8,4.547,36.282,0.513521,1.948
9,4.569,40.851,0.511401,1.930
10,4.811,45.662,0.509603,1.979
11,4.949,50.611,0.496620,1.931
12,4.559,55.169,0.494917,1.855
13,4.934,60.103,0.498421,1.898
14,4.673,64.776,0.479110,1.785
15,4.232,69.008,0.513848,1.886
16,4.765,73.773,0.519951,1.901
17,4.406,78.179,0.534359,1.886
18,4.224,82.403,1.136032,1.903
19,4.554,86.957,0.936570,1.934
20,4.795,91.752,0.756785,1.927
21,4.280,96.032,0.761880,1.890
22,4.664,100.697,0.793524,1.923
23,4.751,105.448,0.833968,1.844
24,4.263,109.711,0.852359,1.836
25,4.330,114.041,0.730817,1.912
26,4.409,118.450,0.850908,1.952
27,4.215,122.664,0.712318,1.805
28,4.349,127.013,0.761140,1.901
29,4.503,131.516,0.765475,1.934
30,4.549,136.065,0.790641,1.886
31,4.094,140.160,0.747340,1.793
32,4.122,144.281,0.839890,1.872
33,4.132,148.414,0.724040,1.985
34,4.510,152.924,0.759109,1.960
35,4.328,157.252,0.701034,1.875
36,4.570,161.822,1.185037,1.923
37,4.722,166.544,1.111852,1.979
38,4.671,171.216,1.229045,1.837
39,4.178,175.393,1.054959,1.813
40,5.205,180.599,0.943045,1.841
41,4.358,184.956,1.065518,1.904
42,4.245,189.201,1.126855,1.798
43,4.568,193.769,1.138105,1.823
44,4.975,198.744,1.154736,1.841
45,4.745,203.489,0.926843,1.855
46,5.141,208.630,0.921781,1.929
47,5.068,213.698,0.950965,1.979
48,4.970,218.667,0.897702,1.811
49,4.854,223.521,1.073699,1.867
50,4.508,228.029,1.009590,1.944
