epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.626,4.626,0.689923,1.889
2,4.360,8.987,0.506665,1.852
3,4.330,13.317,0.507484,1.916
4,4.017,17.334,0.492408,1.937
5,4.109,21.443,0.485162,1.817
6,4.125,25.568,0.524551,1.953
7,4.017,29.585,0.490158,1.836
8,3.957,33.542,1.482487,1.928
9,4.293,37.836,0.908382,1.979
10,4.122,41.958,0.887153,1.868
11,4.330,46.288,0.884230,1.863
12,4.188,50.476,0.813911,1.935
13,4.458,54.934,0.865920,1.957
14,4.559,59.492,0.799116,1.871
15,4.547,64.040,1.169651,1.846
16,4.758,68.797,1.090859,1.782
17,4.370,73.167,1.040257,1.957
18,4.713,77.880,0.982722,1.953
19,4.285,82.165,0.890092,1.808
20,4.943,87.108,1.036883,1.888
