epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,7.302,7.302,0.725805,0.212
2,5.031,12.333,0.530671,0.210
3,4.763,17.096,0.522792,0.208
4,4.761,21.857,0.504542,0.206
5,4.727,26.584,0.458142,0.205
6,4.892,31.475,0.537658,0.212
7,4.793,36.268,0.507816,0.207
8,5.782,42.050,1.259700,0.679
9,5.370,47.420,0.890144,0.675
10,5.682,53.102,0.913335,0.656
11,5.455,58.557,0.875895,0.664
12,5.337,63.893,0.813271,0.663
13,5.712,69.605,0.831435,0.657
14,6.048,75.653,0.687481,0.681
15,7.100,82.753,1.216579,1.850
16,7.323,90.076,0.972803,1.835
17,7.434,97.509,1.103596,1.798
18,6.873,104.383,1.065591,1.867
19,6.860,111.242,1.069435,1.782
20,6.895,118.137,1.066846,1.841
