step,toy_roc_auc
100,0.8545
200,0.8836
300,0.8810
400,0.8942
500,0.8995
600,0.9312
700,0.9537
800,0.9550
900,0.9669
1000,0.9854
1100,0.9841
1200,0.9907
1300,0.9934
1400,0.9907
1500,0.9934
1600,0.9947
1700,0.9947
1800,0.9947
1900,0.9947
2000,0.9960
2100,0.9921
2200,0.9934
2300,0.9947
2400,0.9960
2500,0.9974
2600,0.9947
2700,0.9947
2800,0.9907
2900,0.9947
3000,0.9947
3100,0.9960
3200,0.9960
3300,0.9960
3400,0.9894
3500,0.9894
3600,0.9881
3700,0.9881
3800,0.9881
3900,0.9828
4000,0.9868
4100,0.9868
4200,0.9854
4300,0.9868
4400,0.9854
4500,0.9854
4600,0.9854
4700,0.9881
4800,0.9868
4900,0.9868
5000,0.9907
5100,0.9894
5200,0.9868
5300,0.9854
5400,0.9868
5500,0.9868
5600,0.9868
5700,0.9868
5800,0.9921
5900,0.9907
6000,0.9907
6100,0.9881
6200,0.9881
6300,0.9881
6400,0.9868
6500,0.9868
6600,0.9881
6700,0.9894
6800,0.9881
6900,0.9868
7000,0.9868
7100,0.9868
7200,0.9907
7300,0.9907
7400,0.9907
7500,0.9907
7600,0.9934
7700,0.9947
7800,0.9934
7900,0.9934
8000,0.9934
8100,0.9947
8200,0.9947
8300,0.9934
8400,0.9934
8500,0.9921
8600,0.9921
8700,0.9934
8800,0.9934
8900,0.9934
9000,0.9947
9100,0.9947
9200,0.9947
9300,0.9947
9400,0.9960
9500,0.9960
9600,0.9947
9700,0.9934
9800,0.9934
9900,0.9947
10000,0.9960
