step,toy_roc_auc
100,0.6827
200,0.7593
300,0.7407
400,0.7938
500,0.7938
600,0.8062
700,0.8285
800,0.8580
900,0.8703
1000,0.8887
1100,0.9117
1200,0.9126
1300,0.9111
1400,0.9077
1500,0.9098
1600,0.9081
1700,0.9030
1800,0.9011
1900,0.8949
2000,0.8927
2100,0.8881
2200,0.8801
2300,0.8826
2400,0.8723
2500,0.8647
2600,0.8614
2700,0.8614
2800,0.8607
2900,0.8556
3000,0.8505
3100,0.8509
3200,0.8526
3300,0.8526
3400,0.8549
3500,0.8562
3600,0.8657
3700,0.8792
3800,0.9276
3900,0.9428
4000,0.9568
4100,0.9596
4200,0.9702
4300,0.9805
4400,0.9847
4500,0.9875
4600,0.9903
4700,0.9894
4800,0.9916
4900,0.9916
5000,0.9916
5100,0.9916
5200,0.9916
5300,0.9885
5400,0.9885
5500,0.9885
5600,0.9885
5700,0.9885
5800,0.9889
5900,0.9889
6000,0.9920
6100,0.9920
6200,0.9920
6300,0.9920
6400,0.9920
6500,0.9920
6600,0.9951
6700,0.9951
6800,0.9951
6900,0.9951
7000,0.9951
7100,0.9951
7200,0.9951
7300,0.9951
7400,0.9951
7500,0.9951
7600,0.9951
7700,0.9951
7800,0.9951
7900,0.9951
8000,0.9951
8100,0.9951
8200,0.9951
8300,0.9951
8400,0.9951
8500,0.9951
8600,0.9951
8700,0.9951
8800,0.9951
8900,0.9951
9000,0.9951
9100,0.9951
9200,0.9951
9300,0.9947
9400,0.9965
9500,0.9965
9600,0.9987
9700,0.9987
9800,0.9987
9900,0.9987
10000,0.9987
