step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,22.754,22.754,0.627718,5.026
200,24.657,47.411,0.498991,5.234
300,24.917,72.329,0.491552,4.875
400,24.269,96.598,0.474164,5.262
500,23.458,120.055,0.465810,5.263
600,22.912,142.967,0.463725,5.157
700,26.023,168.990,0.457303,5.145
800,21.048,190.038,0.449416,5.244
900,23.887,213.925,0.440162,5.163
1000,23.563,237.487,0.455363,5.163
1100,23.114,260.602,0.443014,5.253
1200,24.221,284.823,0.431512,5.163
1300,22.119,306.942,0.434310,5.041
1400,24.645,331.587,0.443945,5.248
1500,24.728,356.315,0.438397,4.890
1600,22.755,379.070,0.432661,5.277
1700,23.160,402.231,0.437062,5.278
1800,22.703,424.934,0.447032,5.172
1900,25.854,450.788,0.443564,5.160
2000,21.041,471.829,0.436804,5.259
2100,24.120,495.949,0.430519,5.178
2200,23.795,519.744,0.448145,5.178
2300,23.270,543.014,0.436358,5.267
2400,24.030,567.044,0.425298,5.178
2500,22.306,589.350,0.429288,5.041
2600,24.667,614.017,0.439902,5.248
2700,24.813,638.829,0.434496,4.890
2800,22.878,661.707,0.429113,5.277
2900,23.321,685.028,0.433428,5.278
3000,22.984,708.012,0.443602,5.172
3100,26.023,734.035,0.440035,5.160
3200,21.334,755.369,0.433406,5.259
3300,24.299,779.667,0.427401,5.178
3400,24.023,803.691,0.445605,5.178
3500,23.920,827.611,0.433353,5.267
3600,44.054,871.665,0.932042,18.434
3700,42.821,914.486,0.754515,19.232
3800,43.443,957.929,0.739792,20.647
3900,43.683,1001.612,0.725302,20.941
4000,43.031,1044.643,0.720580,21.979
4100,49.652,1094.295,0.699150,21.006
4200,42.072,1136.367,0.701570,21.895
4300,42.013,1178.380,0.697519,19.718
4400,42.827,1221.207,0.686880,19.172
4500,46.169,1267.376,0.691744,21.627
4600,42.853,1310.229,0.677434,20.901
4700,43.777,1354.006,0.684660,21.724
4800,41.832,1395.838,0.687134,21.670
4900,43.124,1438.962,0.671367,19.232
5000,42.254,1481.216,0.679912,20.647
5100,39.922,1521.139,0.674321,20.941
5200,40.191,1561.330,0.682071,21.979
5300,45.378,1606.708,0.671403,21.006
5400,39.935,1646.642,0.672583,21.895
5500,39.640,1686.283,0.671475,19.718
5600,40.108,1726.391,0.663939,19.172
5700,43.518,1769.909,0.670775,21.627
5800,39.319,1809.228,0.656839,20.901
5900,41.147,1850.375,0.666190,21.724
6000,39.395,1889.770,0.671138,21.670
6100,41.803,1931.573,0.655541,19.232
6200,41.484,1973.058,0.670425,20.647
6300,38.832,2011.890,0.664128,20.941
6400,38.589,2050.479,0.673058,21.979
6500,44.127,2094.606,0.663900,21.006
6600,38.787,2133.393,0.664394,21.895
6700,38.464,2171.857,0.664917,19.718
6800,39.439,2211.295,0.658245,19.172
6900,41.764,2253.060,0.665627,21.627
7000,38.490,2291.550,0.651882,20.901
7100,98.581,2390.131,1.047147,60.580
7200,80.730,2470.861,0.978355,61.491
7300,90.810,2561.671,0.952445,58.289
7400,102.111,2663.782,0.981066,64.145
7500,98.964,2762.747,0.953268,63.763
7600,98.336,2861.082,0.953930,58.963
7700,94.373,2955.455,0.949075,64.014
7800,95.927,3051.382,0.926023,65.525
7900,81.314,3132.696,0.938782,61.533
8000,97.788,3230.485,0.943256,62.121
8100,83.108,3313.593,0.939851,63.018
8200,89.739,3403.331,0.932410,62.266
8300,77.565,3480.897,0.918649,63.635
8400,86.075,3566.972,0.928731,57.551
8500,85.451,3652.423,0.924552,58.289
8600,87.191,3739.614,0.956413,64.145
8700,86.441,3826.054,0.933359,63.763
8800,91.520,3917.575,0.938989,58.963
8900,90.023,4007.598,0.934112,64.014
9000,93.895,4101.493,0.911177,65.525
9100,77.293,4178.787,0.925597,61.533
9200,95.121,4273.908,0.929831,62.121
9300,80.272,4354.180,0.927737,63.018
9400,89.380,4443.560,0.920209,62.266
9500,76.485,4520.045,0.908318,63.635
9600,82.101,4602.145,0.917184,57.551
9700,88.672,4690.817,0.914001,58.289
9800,100.554,4791.371,0.944864,64.145
9900,95.215,4886.585,0.923360,63.763
10000,105.741,4992.327,0.929812,58.963
