epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.175,3.175,0.698481,0.257
2,3.062,6.237,0.499055,0.261
3,2.856,9.093,0.506632,0.261
4,2.925,12.018,0.513392,0.261
5,2.954,14.972,0.517743,0.262
6,3.062,18.035,0.506024,0.262
7,2.831,20.865,0.503190,0.262
8,2.920,23.785,0.519147,0.261
9,2.908,26.693,0.509651,0.262
10,3.145,29.838,0.512917,0.262
11,2.960,32.797,0.459610,0.261
12,2.897,35.694,0.467450,0.261
13,2.913,38.607,0.498517,0.262
14,3.043,41.651,0.518011,0.262
15,2.994,44.645,0.488952,0.261
16,2.860,47.504,0.515699,0.262
17,2.891,50.396,0.478605,0.262
18,3.137,53.533,0.480003,0.261
19,2.875,56.408,0.485833,0.261
20,2.918,59.327,0.492591,0.262
21,2.889,62.215,0.472170,0.262
22,3.118,65.334,0.467397,0.262
23,2.872,68.206,0.508901,0.261
24,2.870,71.076,0.484406,0.261
25,2.884,73.960,0.411593,0.262
26,3.106,77.066,0.458435,0.262
27,2.898,79.964,0.461798,0.262
28,2.896,82.860,0.454215,0.262
29,2.841,85.701,0.464086,0.261
30,3.073,88.774,0.483618,0.262
31,2.947,91.721,0.453227,0.261
32,2.926,94.647,0.416569,0.261
33,2.818,97.465,0.451713,0.261
34,3.087,100.552,0.451582,0.261
35,2.882,103.435,0.443140,0.261
36,3.355,106.789,1.348926,0.699
37,3.411,110.201,0.830870,0.717
38,3.549,113.749,0.824524,0.733
39,3.416,117.166,0.910912,0.708
40,3.251,120.416,0.767018,0.715
41,3.347,123.763,0.770576,0.697
42,3.517,127.280,0.710468,0.728
43,3.316,130.597,0.812069,0.729
44,3.333,133.930,0.788107,0.736
45,3.495,137.425,0.673786,0.691
46,3.428,140.853,0.795043,0.723
47,3.276,144.128,0.753968,0.713
48,3.397,147.525,0.767546,0.698
49,3.502,151.027,0.773534,0.729
50,3.381,154.409,0.737788,0.715
51,3.199,157.607,0.765257,0.722
52,3.190,160.797,0.684711,0.736
53,3.527,164.324,0.691120,0.723
54,3.256,167.579,0.813187,0.736
55,3.214,170.794,0.754982,0.700
56,3.551,174.344,0.751957,0.691
57,3.269,177.613,0.680663,0.733
58,3.343,180.956,0.784566,0.723
59,3.271,184.228,0.655517,0.731
60,3.522,187.750,0.715176,0.698
61,3.332,191.082,0.690322,0.713
62,3.307,194.389,0.669754,0.688
63,3.260,197.649,0.755842,0.718
64,3.513,201.162,0.696134,0.733
65,3.276,204.438,0.722993,0.719
66,3.188,207.626,0.705433,0.718
67,3.299,210.925,0.759669,0.668
68,3.425,214.350,0.656655,0.712
69,3.338,217.688,0.697903,0.728
70,3.231,220.919,0.697278,0.712
71,4.940,225.859,1.246552,1.884
72,4.508,230.366,0.917760,1.916
73,5.084,235.450,1.135304,1.897
74,4.505,239.955,1.169965,1.767
75,5.227,245.182,1.037555,1.948
76,4.472,249.654,0.968665,1.931
77,4.958,254.612,0.917952,1.918
78,4.878,259.490,1.091757,1.804
79,4.582,264.073,0.821759,1.862
80,4.727,268.799,1.105230,1.853
81,5.198,273.997,1.014498,1.853
82,4.863,278.860,1.004025,1.981
83,4.612,283.472,1.055500,1.680
84,4.992,288.464,1.082846,1.841
85,4.972,293.435,0.944346,1.795
86,4.970,298.406,0.993482,1.927
87,5.582,303.987,0.961855,1.870
88,4.921,308.908,0.991480,1.935
89,4.953,313.861,1.028937,1.748
90,5.519,319.379,1.097986,1.877
91,4.803,324.182,0.902898,1.899
92,4.549,328.730,1.050671,1.886
93,4.920,333.650,0.982515,1.927
94,4.345,337.996,1.142518,1.870
95,5.275,343.271,0.963079,1.905
96,4.738,348.009,1.031914,1.896
97,4.542,352.551,0.994269,1.853
98,4.995,357.547,0.967401,1.928
99,4.798,362.345,0.977091,1.944
100,4.561,366.906,1.016367,1.897
