epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.106,4.106,0.811732,0.257
2,3.393,7.499,0.691715,0.261
3,3.112,10.612,0.727277,0.261
4,3.302,13.914,0.709122,0.261
5,3.208,17.122,0.713523,0.262
6,3.392,20.514,0.714289,0.262
7,3.147,23.661,0.704931,0.262
8,3.264,26.925,0.686866,0.261
9,3.158,30.083,0.713075,0.262
10,3.463,33.546,0.700362,0.262
11,3.257,36.802,0.723650,0.261
12,3.149,39.951,0.700438,0.261
13,3.206,43.157,0.704116,0.262
14,3.354,46.511,0.701829,0.262
15,3.409,49.919,0.701025,0.261
16,3.283,53.202,0.707998,0.262
17,3.195,56.397,0.702360,0.262
18,3.720,60.118,1.035872,0.732
19,3.658,63.776,1.264561,0.723
20,3.687,67.463,1.346715,0.735
21,3.504,70.967,1.303130,0.699
22,3.815,74.782,1.328844,0.741
23,3.494,78.275,1.217244,0.696
24,3.691,81.966,1.334378,0.707
25,3.767,85.733,1.311367,0.719
26,3.623,89.356,1.175286,0.683
27,3.520,92.876,1.289946,0.721
28,3.579,96.455,1.112160,0.702
29,3.769,100.224,1.348231,0.689
30,3.628,103.851,1.223051,0.734
31,3.608,107.459,1.238572,0.722
32,3.518,110.977,1.118065,0.698
33,3.896,114.873,1.290656,0.692
34,3.646,118.520,1.198936,0.739
35,3.651,122.170,1.203120,0.733
36,5.065,127.235,1.868117,1.830
37,5.054,132.289,1.716434,1.706
38,5.935,138.225,1.633769,1.854
39,4.801,143.026,1.644000,1.941
40,5.380,148.406,1.702633,1.830
41,4.915,153.321,1.840376,1.762
42,4.615,157.936,1.506056,1.848
43,5.401,163.338,1.789557,1.873
44,4.970,168.307,1.560657,1.905
45,4.720,173.027,1.638365,1.915
46,4.936,177.963,1.674157,1.868
47,5.021,182.984,1.669967,1.833
48,4.949,187.934,1.728423,1.906
49,4.892,192.826,1.558510,1.815
50,5.244,198.069,1.679278,1.843
