step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,70.846,70.846,0.555069,0.000
200,70.220,141.066,0.490468,0.000
300,74.291,215.357,0.477243,0.000
400,194.006,409.363,0.876143,0.000
500,196.556,605.920,0.729506,0.000
600,197.072,802.991,0.740259,0.000
700,441.010,1244.002,1.051694,0.000
800,434.695,1678.697,1.000757,0.000
900,549.180,2227.877,0.992254,0.000
1000,515.345,2743.222,0.984004,0.000
1100,486.090,3229.312,0.960722,0.000
1200,488.332,3717.644,0.973579,0.000
1300,544.344,4261.989,0.967312,0.000
1400,408.517,4670.506,0.950013,0.000
1500,519.250,5189.756,0.960943,0.000
1600,496.573,5686.329,0.933109,0.000
1700,559.346,6245.675,0.939620,0.000
1800,596.714,6842.389,0.980293,0.000
1900,610.351,7452.740,0.937290,0.000
2000,522.350,7975.090,0.948266,0.000
2100,559.246,8534.336,0.962620,0.000
2200,509.137,9043.473,0.964013,0.000
2300,542.936,9586.409,0.951220,0.000
2400,535.336,10121.745,0.959247,0.000
2500,1050.532,11172.277,0.950141,0.000
