epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.178,3.178,0.698481,0.257
2,3.089,6.268,0.499055,0.261
3,2.865,9.133,0.506632,0.261
4,2.954,12.087,0.513392,0.261
5,2.967,15.055,0.517743,0.262
6,3.119,18.174,0.506024,0.262
7,2.864,21.038,0.503190,0.262
8,3.374,24.411,1.260151,0.714
9,3.481,27.892,0.934935,0.671
10,3.612,31.505,0.916915,0.714
11,3.595,35.100,0.797896,0.709
12,3.462,38.562,0.726310,0.708
13,3.476,42.038,0.789154,0.714
14,3.576,45.614,0.770618,0.704
15,4.745,50.359,1.113368,1.973
16,4.506,54.865,1.077278,1.856
17,5.373,60.239,1.092029,1.930
18,4.592,64.831,1.083539,1.899
19,4.812,69.643,0.943578,1.868
20,5.642,75.285,1.070137,1.885
