epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,7.302,7.302,0.725805,0.212
2,5.056,12.358,0.530671,0.210
3,4.773,17.131,0.522792,0.208
4,4.775,21.906,0.504542,0.206
5,5.060,26.966,1.224601,0.392
6,5.282,32.248,0.810351,0.387
7,5.060,37.307,0.751200,0.382
8,5.050,42.357,0.668749,0.388
9,5.563,47.920,0.882234,0.689
10,5.826,53.746,0.850981,0.663
11,5.491,59.237,0.821342,0.666
12,5.514,64.751,0.903519,0.646
13,6.641,71.392,1.032424,1.249
14,6.470,77.862,1.021435,1.254
15,6.407,84.269,0.959855,1.285
16,6.187,90.456,0.943380,1.204
17,6.973,97.429,1.011693,1.891
18,7.077,104.506,1.017377,1.877
19,7.080,111.586,1.125004,1.840
20,7.941,119.527,1.129631,1.885
