epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.183,3.183,0.676301,0.262
2,3.071,6.255,0.542109,0.262
3,2.961,9.215,0.501531,0.262
4,2.955,12.171,0.502807,0.258
5,3.072,15.243,1.253254,0.422
6,3.339,18.582,0.852342,0.440
7,3.119,21.701,0.762209,0.441
8,3.084,24.785,0.642703,0.436
9,3.351,28.136,0.876893,0.689
10,3.566,31.701,0.930548,0.697
11,3.466,35.168,0.837727,0.689
12,3.396,38.564,0.915179,0.713
13,3.933,42.497,0.936633,1.272
14,4.114,46.611,0.924976,1.300
15,3.852,50.463,0.917229,1.316
16,3.884,54.347,0.917034,1.271
17,4.546,58.893,1.088951,1.863
18,4.738,63.630,1.147321,1.881
19,4.799,68.430,1.008674,1.745
20,4.832,73.262,1.017544,1.828
