step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,113.838,113.838,0.555069,0.000
200,113.723,227.561,0.490468,0.000
300,123.326,350.887,0.477243,0.000
400,121.858,472.745,0.462887,0.000
500,116.724,589.469,0.464111,0.000
600,115.812,705.281,0.458246,0.000
700,121.861,827.141,0.452360,0.000
800,94.028,921.169,0.456051,0.000
900,102.874,1024.043,0.456220,0.000
1000,85.243,1109.286,0.451488,0.000
1100,76.809,1186.096,0.442182,0.000
1200,74.797,1260.892,0.441812,0.000
1300,76.296,1337.188,0.448065,0.000
1400,77.646,1414.833,0.451702,0.000
1500,74.176,1489.009,0.446172,0.000
1600,74.082,1563.091,0.452658,0.000
1700,78.976,1642.067,0.444275,0.000
1800,107.830,1749.898,0.450610,0.000
1900,92.390,1842.288,0.440665,0.000
2000,81.293,1923.581,0.446513,0.000
2100,81.031,2004.612,0.442351,0.000
2200,110.972,2115.584,0.434721,0.000
2300,244.157,2359.741,0.944635,0.000
2400,252.586,2612.327,0.763346,0.000
2500,622.579,3234.906,1.045367,0.000
