epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,25.746,25.746,0.863681,5.252
2,22.580,48.326,0.698145,5.265
3,22.540,70.866,0.695776,5.253
4,21.839,92.705,0.696032,5.078
5,23.164,115.869,0.694726,5.265
6,21.121,136.990,0.694051,5.197
7,22.685,159.675,0.693863,5.265
8,22.818,182.494,0.693985,5.253
9,21.163,203.656,0.694618,5.174
10,20.736,224.392,0.693771,5.174
11,22.087,246.479,0.693867,5.253
12,23.716,270.195,0.693862,5.139
13,22.717,292.912,0.692922,5.267
14,21.762,314.674,0.693664,5.280
15,22.429,337.103,0.693489,5.268
16,21.848,358.951,0.694277,5.093
17,23.258,382.209,0.694050,5.280
18,31.617,413.826,1.034876,19.211
19,45.353,459.180,1.193168,21.847
20,43.438,502.618,1.208933,20.042
21,41.528,544.146,1.193533,20.688
22,45.769,589.915,1.194878,20.744
23,40.039,629.955,1.185745,18.922
24,41.580,671.535,1.183894,20.650
25,43.069,714.604,1.186416,21.008
26,42.427,757.031,1.193545,20.815
27,37.603,794.634,1.198933,21.809
28,40.000,834.634,1.187223,20.305
29,38.460,873.094,1.189747,20.525
30,37.969,911.063,1.195921,20.232
31,38.052,949.115,1.175409,19.272
32,42.874,991.989,1.184154,21.052
33,38.688,1030.677,1.180157,20.897
34,37.234,1067.911,1.201374,20.855
35,40.306,1108.216,1.205401,21.497
36,97.662,1205.878,1.693829,61.304
37,94.662,1300.540,1.567078,59.235
38,99.499,1400.039,1.621605,56.950
39,102.296,1502.335,1.584009,62.145
40,98.594,1600.929,1.567971,63.213
41,96.042,1696.971,1.589783,64.746
42,101.226,1798.197,1.591533,59.796
43,88.840,1887.037,1.583479,58.335
44,97.537,1984.574,1.574979,63.885
45,102.333,2086.907,1.575201,63.718
46,88.957,2175.864,1.583026,59.463
47,99.890,2275.754,1.602591,64.746
48,96.760,2372.514,1.591955,62.407
49,87.439,2459.953,1.560954,59.235
50,97.791,2557.744,1.618383,56.950
