epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,8.024,8.024,1.397376,0.212
2,5.872,13.896,1.057361,0.212
3,5.669,19.565,0.993683,0.212
4,5.412,24.977,0.964913,0.205
5,5.352,30.329,0.998340,0.209
6,6.234,36.563,1.115083,0.212
7,5.958,42.521,1.117442,0.206
8,6.211,48.733,1.025221,0.689
9,6.333,55.065,1.089453,0.676
10,5.822,60.887,0.987950,0.679
11,5.911,66.798,1.004540,0.673
12,6.647,73.445,1.136646,0.637
13,6.127,79.572,1.009600,0.688
14,5.954,85.525,0.994723,0.668
15,7.559,93.085,0.822573,1.900
16,7.560,100.645,1.074421,1.897
17,7.585,108.230,1.135655,1.887
18,7.133,115.363,0.954311,1.698
19,7.371,122.734,0.987911,1.718
20,8.109,130.844,1.079038,1.822
