epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.926,3.926,1.349211,0.262
2,3.812,7.738,1.062336,0.262
3,4.090,11.828,1.152143,0.262
4,4.008,15.837,1.143472,0.261
5,4.052,19.888,1.029974,0.262
6,3.869,23.758,1.179160,0.262
7,3.802,27.560,1.177021,0.261
8,3.731,31.291,1.160845,0.261
9,4.159,35.450,1.156653,0.261
10,3.859,39.309,1.041222,0.262
11,3.721,43.030,0.966375,0.262
12,4.022,47.052,1.006397,0.261
13,4.231,51.283,1.059419,0.262
14,3.882,55.164,1.044894,0.261
15,4.025,59.190,0.978713,0.262
16,4.291,63.481,0.941416,0.262
17,4.026,67.507,0.919231,0.262
18,3.896,71.403,1.011596,0.635
19,4.190,75.593,1.020872,0.740
20,3.779,79.371,0.869965,0.731
21,4.041,83.412,1.018034,0.712
22,3.965,87.377,1.055692,0.668
23,4.318,91.695,1.085755,0.736
24,4.213,95.908,1.027863,0.731
25,3.876,99.783,1.051035,0.722
26,4.140,103.923,1.056520,0.703
27,4.136,108.059,1.038649,0.706
28,4.285,112.344,1.010935,0.721
29,3.982,116.326,0.974087,0.655
30,4.365,120.691,0.953229,0.683
31,4.256,124.947,1.107485,0.687
32,4.380,129.327,1.056670,0.674
33,4.411,133.739,0.943389,0.721
34,4.250,137.988,0.958227,0.682
35,3.987,141.975,0.913801,0.724
36,4.917,146.892,0.904245,1.929
37,4.674,151.566,0.990559,1.880
38,4.617,156.183,1.028880,1.919
39,4.126,160.309,0.957988,1.811
40,4.612,164.921,1.059294,1.905
41,5.075,169.996,0.950287,1.830
42,4.394,174.390,0.956162,1.919
43,4.909,179.299,1.073873,1.950
44,4.610,183.909,1.015996,1.969
45,4.518,188.427,0.924219,1.864
46,4.623,193.051,0.786983,1.860
47,4.574,197.625,1.022447,1.949
48,4.662,202.288,0.990709,1.836
49,4.521,206.809,0.987326,1.879
50,5.027,211.835,0.991820,1.952
