epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,3.815,3.815,1.349211,0.262
2,3.686,7.501,1.062336,0.262
3,3.912,11.413,1.152143,0.262
4,3.809,15.221,1.143472,0.261
5,3.869,19.090,1.029974,0.262
6,3.769,22.860,1.179160,0.262
7,3.623,26.483,1.177021,0.261
8,3.793,30.276,0.938030,0.707
9,4.293,34.569,0.896539,0.719
10,3.883,38.453,1.164307,0.719
11,4.004,42.457,1.089844,0.711
12,4.312,46.769,1.114548,0.690
13,3.835,50.604,0.973250,0.699
14,4.234,54.838,1.054553,0.711
15,4.528,59.366,1.088678,1.828
16,4.649,64.015,1.004678,1.753
17,4.533,68.548,0.975847,1.950
18,4.670,73.217,0.994753,1.921
19,4.536,77.753,1.114440,1.936
20,4.226,81.979,1.075204,1.779
