epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,11.472,11.472,1.269463,1.923
2,8.487,19.959,1.218630,1.898
3,8.244,28.203,1.243401,1.853
4,9.886,38.089,1.088821,1.832
5,8.578,46.667,1.103704,1.838
6,7.961,54.628,1.089240,1.881
7,8.659,63.287,1.016079,1.896
8,8.217,71.504,1.070600,1.859
9,7.905,79.409,1.108243,1.915
10,8.228,87.637,0.995139,1.847
11,8.358,95.995,1.031390,1.930
12,8.912,104.906,0.933420,1.850
13,8.732,113.639,1.139104,1.901
14,8.852,122.491,0.941843,1.765
15,8.530,131.021,1.007319,1.861
16,7.706,138.726,0.977229,1.881
17,8.459,147.185,1.016639,1.930
18,8.232,155.417,1.063150,1.790
19,8.078,163.495,0.975974,1.792
20,7.723,171.217,0.997363,1.763
