epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.421,4.421,1.413347,1.883
2,4.553,8.974,1.147087,1.898
3,4.626,13.600,1.133473,1.883
4,4.677,18.277,1.071627,1.883
5,4.473,22.750,1.073081,1.937
6,4.321,27.071,0.942092,1.908
7,4.496,31.567,1.052732,1.839
8,4.678,36.245,0.990329,1.913
9,5.374,41.619,1.062616,1.884
10,4.824,46.444,1.033706,1.967
11,4.319,50.763,1.009803,1.921
12,4.635,55.398,1.047600,1.898
13,4.686,60.084,1.052416,1.692
14,4.478,64.562,0.914756,1.811
15,4.604,69.166,1.077141,1.839
16,4.465,73.631,0.961995,1.852
17,4.784,78.415,1.157620,1.912
18,4.746,83.161,0.953539,1.878
19,4.944,88.105,1.065162,1.867
20,4.313,92.418,0.949102,1.888
21,4.316,96.734,0.907288,1.796
22,5.249,101.984,1.019163,1.882
23,4.257,106.241,1.101296,1.710
24,4.678,110.918,0.977522,1.867
25,4.229,115.147,0.961021,1.913
26,4.596,119.743,0.939611,1.878
27,4.322,124.065,1.048590,1.766
28,4.472,128.538,1.016123,1.909
29,4.569,133.106,0.981487,1.842
30,4.451,137.558,1.021185,1.846
31,4.254,141.811,1.015723,1.724
32,4.725,146.536,0.962768,1.896
33,4.632,151.168,1.050373,1.898
34,4.715,155.882,1.145769,1.900
35,4.522,160.404,1.047343,1.942
36,4.721,165.126,0.917174,1.866
37,4.224,169.349,1.077773,1.975
38,4.238,173.587,0.885667,1.829
39,5.087,178.674,1.001874,1.908
40,4.641,183.315,0.978383,1.847
41,4.625,187.941,0.929085,1.907
42,5.085,193.026,0.884324,1.850
43,4.932,197.958,1.024177,1.835
44,4.619,202.577,0.987736,1.743
45,4.458,207.035,1.089348,1.842
46,4.627,211.661,1.017963,1.831
47,4.703,216.364,0.979734,1.873
48,4.239,220.603,0.902898,1.945
49,4.736,225.339,0.911712,1.884
50,4.474,229.813,1.024171,1.932
