step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,34.371,34.371,0.530463,0.920
200,31.577,65.948,0.480784,0.920
300,31.908,97.856,0.475029,0.924
400,35.395,133.251,0.443120,0.924
500,30.221,163.472,0.450661,0.920
600,31.853,195.325,0.451917,0.919
700,30.836,226.161,0.430737,0.924
800,33.189,259.350,0.447749,0.924
900,30.098,289.449,0.445953,0.924
1000,31.337,320.786,0.443920,0.924
1100,30.602,351.387,0.446836,0.920
1200,31.394,382.782,0.440846,0.920
1300,30.559,413.341,0.459632,0.922
1400,31.325,444.666,0.456863,0.913
1500,30.518,475.184,0.455105,0.924
1600,32.752,507.937,0.446572,0.921
1700,30.056,537.993,0.452784,0.925
1800,28.311,566.304,0.449831,0.921
1900,30.052,596.356,0.449241,0.925
2000,30.668,627.024,0.454574,0.925
2100,33.546,660.570,0.454054,0.922
2200,30.617,691.187,0.459887,0.922
2300,28.799,719.986,0.443950,0.913
2400,31.171,751.158,0.449643,0.910
2500,33.208,784.366,0.464183,0.925
2600,29.111,813.477,0.459154,0.921
2700,29.144,842.621,0.450707,0.921
2800,27.540,870.161,0.462720,0.921
2900,28.892,899.053,0.445995,0.925
3000,29.360,928.412,0.457040,0.921
3100,30.384,958.796,0.460010,0.925
3200,29.992,988.789,0.467867,0.921
3300,39.296,1028.085,0.449235,0.921
3400,38.897,1066.982,0.449284,0.911
3500,34.157,1101.139,0.451439,0.921
3600,37.174,1138.313,0.446151,0.925
3700,38.971,1177.284,0.453127,0.925
3800,36.468,1213.752,0.444291,0.924
3900,34.040,1247.792,0.439037,0.920
4000,33.770,1281.562,0.444732,0.924
4100,32.904,1314.465,0.442773,0.921
4200,33.104,1347.569,0.453049,0.924
4300,35.434,1383.003,0.439233,0.920
4400,37.380,1420.383,0.454235,0.913
4500,34.132,1454.515,0.457620,0.924
4600,33.971,1488.486,0.467736,0.910
4700,34.711,1523.197,0.467373,0.924
4800,37.074,1560.271,0.457046,0.924
4900,29.114,1589.385,0.450685,0.922
5000,29.930,1619.315,0.450549,0.913
5100,29.073,1648.388,0.446168,0.924
5200,31.413,1679.800,0.439102,0.921
5300,31.497,1711.298,0.445735,0.925
5400,31.099,1742.397,0.443323,0.921
5500,33.246,1775.643,0.442139,0.925
5600,33.039,1808.682,0.448433,0.925
5700,33.648,1842.330,0.449643,0.925
5800,30.646,1872.976,0.462518,0.925
5900,33.244,1906.220,0.455611,0.925
6000,32.460,1938.680,0.465739,0.922
6100,32.450,1971.130,0.459562,0.925
6200,31.215,2002.345,0.455008,0.921
6300,30.717,2033.062,0.445192,0.921
6400,28.848,2061.910,0.457886,0.921
6500,30.322,2092.232,0.441819,0.925
6600,31.100,2123.332,0.452074,0.921
6700,32.588,2155.920,0.455849,0.925
6800,32.036,2187.956,0.464291,0.921
6900,51.067,2239.024,0.449517,0.921
7000,44.323,2283.347,0.447670,0.925
7100,44.224,2327.571,0.455205,0.921
7200,50.152,2377.723,0.453642,0.921
7300,51.830,2429.553,0.442297,0.925
7400,48.055,2477.608,0.456472,0.924
7500,44.924,2522.532,0.460663,0.924
7600,44.932,2567.464,0.453529,0.920
7700,45.748,2613.213,0.450564,0.920
7800,49.438,2662.650,0.464483,0.920
7900,44.743,2707.394,0.465306,0.912
8000,39.943,2747.337,0.462758,0.924
8100,44.516,2791.853,0.468062,0.918
8200,41.783,2833.636,0.460191,0.920
8300,42.139,2875.775,0.446884,0.902
8400,46.407,2922.181,0.466939,0.920
8500,28.994,2951.175,0.448346,0.922
8600,30.076,2981.252,0.447763,0.913
8700,28.558,3009.810,0.444204,0.924
8800,30.910,3040.719,0.436601,0.921
8900,27.165,3067.885,0.442186,0.925
9000,30.038,3097.923,0.446558,0.922
9100,28.524,3126.447,0.449768,0.925
9200,28.643,3155.090,0.450047,0.922
9300,27.703,3182.792,0.455991,0.908
9400,28.614,3211.407,0.428708,0.922
9500,27.048,3238.454,0.448046,0.922
9600,30.777,3269.232,0.450992,0.925
9700,30.150,3299.382,0.457484,0.925
9800,29.356,3328.738,0.453210,0.921
9900,28.403,3357.141,0.442620,0.921
10000,26.752,3383.893,0.455919,0.921
