step,toy_roc_auc
100,0.9259
200,0.9907
300,1.0000
400,0.9960
500,0.9960
600,0.9974
700,0.9974
800,0.9960
900,0.9960
1000,0.9960
1100,0.9947
1200,0.9960
1300,0.9960
1400,0.9947
1500,0.9947
1600,0.9947
1700,0.9947
1800,0.9947
1900,0.9947
2000,0.9947
2100,0.9934
2200,0.9934
2300,0.9934
2400,0.9934
2500,0.9947
2600,0.9947
2700,0.9960
2800,0.9960
2900,0.9960
3000,0.9960
3100,0.9960
3200,0.9960
3300,0.9960
3400,0.9960
3500,0.9974
3600,0.9960
3700,0.9960
3800,0.9960
3900,0.9960
4000,0.9960
4100,0.9960
4200,0.9960
4300,0.9960
4400,0.9960
4500,0.9960
4600,0.9960
4700,0.9960
4800,0.9960
4900,0.9960
5000,0.9960
5100,0.9960
5200,0.9960
5300,0.9960
5400,0.9960
5500,0.9960
5600,0.9960
5700,0.9960
5800,0.9960
5900,0.9960
6000,0.9960
6100,0.9960
6200,0.9960
6300,0.9960
6400,0.9960
6500,0.9960
6600,0.9960
6700,0.9960
6800,0.9960
6900,0.9960
7000,0.9960
7100,0.9960
7200,0.9960
7300,0.9960
7400,0.9960
7500,0.9960
7600,0.9960
7700,0.9960
7800,0.9960
7900,0.9960
8000,0.9960
8100,0.9960
8200,0.9974
8300,0.9974
8400,0.9960
8500,0.9960
8600,0.9960
8700,0.9960
8800,0.9960
8900,0.9960
9000,0.9960
9100,0.9960
9200,0.9960
9300,0.9960
9400,0.9960
9500,0.9960
9600,0.9960
9700,0.9960
9800,0.9960
9900,0.9960
10000,0.9960
