step,toy_roc_auc
100,0.8968
200,0.7963
300,0.8532
400,0.8638
500,0.8929
600,0.9140
700,0.9299
800,0.9444
900,0.9868
1000,0.9907
1100,0.9934
1200,0.9960
1300,0.9960
1400,0.9960
1500,0.9947
1600,0.9934
1700,0.9934
1800,0.9934
1900,0.9934
2000,0.9907
2100,0.9907
2200,0.9907
2300,0.9921
2400,0.9960
2500,0.9960
2600,0.9960
2700,0.9960
2800,0.9907
2900,0.9907
3000,0.9907
3100,0.9907
3200,0.9907
3300,0.9907
3400,0.9907
3500,0.9907
3600,0.9907
3700,0.9907
3800,0.9921
3900,0.9934
4000,0.9921
4100,0.9947
4200,0.9947
4300,0.9947
4400,0.9947
4500,0.9947
4600,0.9947
4700,0.9947
4800,0.9947
4900,0.9947
5000,0.9947
5100,0.9947
5200,0.9947
5300,0.9947
5400,0.9947
5500,0.9947
5600,0.9947
5700,0.9947
5800,0.9947
5900,0.9947
6000,0.9947
6100,0.9947
6200,0.9947
6300,0.9947
6400,0.9947
6500,0.9960
6600,0.9960
6700,0.9960
6800,0.9960
6900,0.9960
7000,0.9960
7100,0.9960
7200,0.9960
7300,0.9960
7400,0.9960
7500,0.9960
7600,0.9960
7700,0.9960
7800,0.9960
7900,0.9960
8000,0.9960
8100,0.9960
8200,0.9960
8300,0.9960
8400,0.9960
8500,0.9960
8600,0.9960
8700,0.9960
8800,0.9947
8900,0.9947
9000,0.9947
9100,0.9947
9200,0.9947
9300,0.9947
9400,0.9947
9500,0.9947
9600,0.9947
9700,0.9947
9800,0.9947
9900,0.9947
10000,0.9947
