step,toy_roc_auc
100,0.1944
200,0.7315
300,0.9868
400,0.9974
500,0.9921
600,0.9947
700,0.9934
800,0.9934
900,0.9934
1000,0.9934
1100,0.9934
1200,0.9921
1300,0.9947
1400,0.9947
1500,0.9947
1600,0.9921
1700,0.9921
1800,0.9921
1900,0.9921
2000,0.9934
2100,0.9934
2200,0.9947
2300,0.9934
2400,0.9934
2500,0.9934
2600,0.9934
2700,0.9934
2800,0.9934
2900,0.9934
3000,0.9934
3100,0.9934
3200,0.9921
3300,0.9921
3400,0.9921
3500,0.9921
3600,0.9934
3700,0.9947
3800,0.9947
3900,0.9934
4000,0.9947
4100,0.9960
4200,0.9960
4300,0.9960
4400,0.9960
4500,0.9960
4600,0.9960
4700,0.9960
4800,0.9960
4900,0.9960
5000,0.9960
5100,0.9960
5200,0.9960
5300,0.9974
5400,0.9974
5500,0.9974
5600,0.9974
5700,0.9974
5800,0.9974
5900,0.9974
6000,0.9974
6100,0.9987
6200,0.9987
6300,0.9987
6400,0.9987
6500,0.9960
6600,0.9947
6700,0.9947
6800,0.9947
6900,0.9947
7000,0.9947
7100,0.9960
7200,0.9960
7300,0.9974
7400,0.9987
7500,0.9987
7600,0.9987
7700,0.9974
7800,0.9974
7900,0.9974
8000,0.9974
8100,0.9974
8200,0.9987
8300,0.9987
8400,0.9987
8500,0.9974
8600,0.9974
8700,0.9974
8800,0.9974
8900,0.9974
9000,0.9974
9100,0.9974
9200,0.9974
9300,0.9974
9400,0.9974
9500,0.9960
9600,0.9974
9700,0.9974
9800,0.9987
9900,0.9987
10000,0.9987
