step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,33.747,33.747,0.583993,0.923
200,33.483,67.230,0.489640,0.923
300,33.099,100.329,0.499113,0.907
400,30.124,130.453,0.493442,0.920
500,35.471,165.924,0.480662,0.920
600,34.369,200.293,0.463980,0.923
700,36.425,236.718,0.484603,0.908
800,35.888,272.606,0.480259,0.921
900,42.043,314.649,0.464873,0.921
1000,40.675,355.324,0.472881,0.921
1100,49.907,405.231,0.487533,0.923
1200,50.922,456.154,0.488433,0.920
1300,41.752,497.905,0.472525,0.921
1400,50.189,548.094,0.480125,0.921
1500,49.653,597.747,0.491523,0.921
1600,56.852,654.600,0.479266,0.923
1700,51.132,705.731,0.480953,0.923
1800,54.881,760.612,0.488353,0.923
1900,56.932,817.544,0.483757,0.923
2000,60.485,878.029,0.482952,0.923
2100,53.120,931.150,0.474251,0.921
2200,51.429,982.579,0.476466,0.921
2300,55.722,1038.301,0.494072,0.921
2400,58.037,1096.338,0.478766,0.920
2500,51.621,1147.959,0.478149,0.921
