epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.289,4.289,1.413347,1.883
2,4.484,8.774,1.147087,1.898
3,4.521,13.294,1.133473,1.883
4,4.551,17.845,1.071627,1.883
5,4.344,22.189,1.073081,1.937
6,4.210,26.398,0.942092,1.908
7,4.321,30.720,1.052732,1.839
8,4.385,35.105,1.043979,1.941
9,4.937,40.042,1.023036,1.928
10,4.709,44.751,0.945918,1.860
11,4.308,49.059,0.994158,1.913
12,4.622,53.681,1.125925,1.925
13,4.521,58.202,0.911605,1.941
14,5.140,63.342,1.110667,1.869
15,5.114,68.456,1.110435,1.948
16,4.634,73.090,1.094875,1.841
17,4.377,77.466,1.041184,1.925
18,4.295,81.761,1.086578,1.956
19,4.656,86.417,1.035594,1.841
20,4.646,91.063,1.006158,1.982
