step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,31.145,31.145,0.583993,0.923
200,30.159,61.304,0.502640,0.921
300,31.447,92.751,0.496356,0.920
400,31.304,124.055,0.488183,0.921
500,30.252,154.307,0.495130,0.921
600,27.246,181.553,0.489797,0.923
700,28.707,210.259,0.486258,0.921
800,29.536,239.795,0.467236,0.920
900,28.656,268.451,0.462235,0.912
1000,29.137,297.588,0.463501,0.921
1100,30.297,327.885,0.445435,0.920
1200,30.360,358.245,0.449136,0.923
1300,28.672,386.917,0.450172,0.925
1400,29.133,416.050,0.462630,0.922
1500,30.351,446.402,0.450871,0.921
1600,30.069,476.471,0.446349,0.922
1700,28.455,504.926,0.449433,0.921
1800,27.997,532.922,0.464155,0.921
1900,29.284,562.206,0.468439,0.925
2000,28.431,590.637,0.463771,0.925
2100,28.206,618.843,0.473878,0.922
2200,30.779,649.622,0.469297,0.925
2300,29.776,679.399,0.484439,0.922
2400,27.232,706.630,0.468668,0.922
2500,29.873,736.503,0.461684,0.925
2600,30.599,767.102,0.475482,0.922
2700,29.611,796.713,0.461438,0.922
2800,31.448,828.160,0.468488,0.913
2900,27.842,856.002,0.463769,0.922
3000,33.465,889.467,0.458613,0.922
3100,26.859,916.327,0.461578,0.925
3200,32.919,949.246,0.453935,0.922
3300,32.217,981.463,0.469105,0.908
3400,40.367,1021.831,0.459119,0.921
3500,40.499,1062.330,0.459908,0.925
3600,40.684,1103.014,0.458632,0.922
3700,38.732,1141.746,0.456526,0.927
3800,39.660,1181.406,0.450363,0.925
3900,35.019,1216.426,0.442474,0.918
4000,35.050,1251.475,0.450231,0.918
4100,37.975,1289.450,0.453609,0.925
4200,34.111,1323.562,0.448152,0.921
4300,33.903,1357.464,0.451851,0.921
4400,35.779,1393.243,0.461781,0.918
4500,35.481,1428.724,0.453720,0.925
4600,34.753,1463.476,0.450958,0.925
4700,34.616,1498.093,0.451488,0.921
4800,36.478,1534.571,0.453578,0.925
4900,34.844,1569.415,0.452515,0.927
5000,39.144,1608.559,0.447131,0.925
5100,34.869,1643.428,0.470775,0.913
5200,34.726,1678.154,0.456141,0.925
5300,33.373,1711.527,0.460555,0.921
5400,37.380,1748.907,0.473321,0.918
5500,36.112,1785.019,0.460801,0.921
5600,36.005,1821.024,0.467063,0.925
5700,33.436,1854.460,0.477725,0.918
5800,36.323,1890.783,0.459096,0.925
5900,34.401,1925.184,0.462911,0.921
6000,36.573,1961.757,0.468228,0.921
6100,34.479,1996.236,0.452564,0.925
6200,27.553,2023.789,0.467090,0.922
6300,29.404,2053.193,0.454033,0.922
6400,28.142,2081.335,0.461579,0.913
6500,27.497,2108.832,0.455631,0.922
6600,30.282,2139.113,0.451600,0.922
6700,31.779,2170.892,0.452520,0.922
6800,45.503,2216.396,0.445109,0.921
6900,49.543,2265.939,0.450061,0.925
7000,48.565,2314.503,0.461526,0.922
7100,51.695,2366.198,0.440709,0.922
7200,49.618,2415.816,0.457866,0.925
7300,46.251,2462.067,0.456200,0.926
7400,49.161,2511.228,0.450427,0.921
7500,37.747,2548.974,0.455535,0.921
7600,36.207,2585.182,0.442364,0.925
7700,46.739,2631.921,0.450951,0.925
7800,41.916,2673.836,0.455568,0.921
7900,52.095,2725.931,0.452680,0.921
8000,42.576,2768.507,0.442535,0.925
8100,45.417,2813.924,0.443615,0.921
8200,49.922,2863.846,0.461470,0.908
8300,41.803,2905.649,0.446125,0.925
8400,40.446,2946.096,0.461476,0.925
8500,30.572,2976.668,0.450690,0.925
8600,27.183,3003.851,0.464864,0.922
8700,30.707,3034.558,0.451856,0.922
8800,28.008,3062.566,0.459831,0.913
8900,27.490,3090.056,0.453604,0.922
9000,30.710,3120.766,0.449282,0.922
9100,26.502,3147.267,0.454002,0.925
9200,27.168,3174.435,0.445731,0.922
9300,27.100,3201.535,0.462095,0.908
9400,29.236,3230.771,0.459293,0.921
9500,27.594,3258.365,0.448232,0.925
9600,28.673,3287.039,0.446448,0.925
9700,34.787,3321.826,0.450157,0.925
9800,27.485,3349.311,0.463916,0.922
9900,32.540,3381.851,0.450751,0.922
10000,28.211,3410.062,0.458878,0.913
