epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,11.798,11.798,1.615836,1.806
2,6.494,18.292,1.302561,1.896
3,6.645,24.937,1.075176,1.834
4,6.425,31.361,1.128148,1.831
5,6.437,37.798,1.061315,1.780
6,6.446,44.244,1.167112,1.844
7,5.987,50.231,1.158773,1.919
8,4.539,54.771,0.776255,0.692
9,4.842,59.612,0.775764,0.659
10,4.634,64.246,0.720301,0.654
11,4.485,68.731,0.735643,0.667
12,4.586,73.317,0.718846,0.665
13,4.685,78.001,0.739565,0.640
14,4.467,82.469,0.757807,0.642
15,3.988,86.457,0.518349,0.209
16,4.028,90.485,0.497391,0.208
17,4.227,94.712,0.522201,0.208
18,3.970,98.682,0.472459,0.208
19,4.111,102.793,0.497178,0.209
20,3.989,106.782,0.481242,0.209
