epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.030,5.030,1.446565,1.890
2,4.696,9.726,1.212580,1.875
3,4.222,13.948,1.108488,1.853
4,4.902,18.849,1.202822,1.871
5,5.002,23.852,1.072281,1.869
6,4.919,28.771,1.161391,1.925
7,5.193,33.964,1.007603,1.826
8,4.697,38.661,0.971428,1.749
9,4.926,43.587,1.037984,1.766
10,4.755,48.342,1.042598,1.959
11,4.552,52.894,1.082750,1.858
12,4.676,57.570,0.983611,1.761
13,4.657,62.227,0.976152,1.894
14,4.513,66.740,1.018133,1.840
15,4.882,71.622,1.030640,1.903
16,4.871,76.493,1.094776,1.904
17,4.759,81.252,0.995380,1.959
18,4.821,86.073,1.087856,1.894
19,4.774,90.847,1.024510,1.971
20,4.976,95.823,1.081530,1.892
21,4.248,100.071,1.045004,1.746
22,5.034,105.104,1.032612,1.873
23,4.525,109.629,0.993251,1.900
24,4.436,114.065,1.007032,1.869
25,4.448,118.513,1.165287,1.959
26,4.750,123.263,1.018510,1.842
27,4.311,127.574,1.110333,1.882
28,4.127,131.701,0.999027,1.892
29,4.942,136.643,1.044598,1.830
30,4.351,140.994,0.959578,1.882
31,4.351,145.345,0.993978,1.838
32,4.768,150.113,1.020414,1.900
33,5.099,155.212,0.897864,1.886
34,4.186,159.397,0.940102,1.978
35,4.416,163.813,0.960604,1.746
36,3.567,167.380,0.674478,0.732
37,3.282,170.662,0.746500,0.711
38,3.345,174.007,0.671634,0.683
39,3.396,177.403,0.767311,0.687
40,3.540,180.943,0.737191,0.724
41,3.297,184.240,0.692164,0.681
42,3.186,187.426,0.715897,0.713
43,3.313,190.739,0.674083,0.724
44,3.480,194.219,0.680316,0.671
45,3.338,197.557,0.752197,0.733
46,3.445,201.001,0.721007,0.712
47,3.482,204.484,0.734495,0.732
48,3.353,207.836,0.664856,0.713
49,3.293,211.130,0.791449,0.711
50,3.393,214.522,0.663606,0.699
51,3.513,218.035,0.763419,0.714
52,3.174,221.210,0.632397,0.695
53,3.222,224.432,0.682025,0.728
54,3.240,227.672,0.660111,0.709
55,3.565,231.236,0.715299,0.698
56,3.363,234.599,0.737473,0.721
57,3.413,238.012,0.699299,0.666
58,3.270,241.282,0.698919,0.701
59,3.472,244.754,0.669834,0.698
60,3.267,248.021,0.750848,0.712
61,3.403,251.425,0.705061,0.692
62,3.634,255.059,0.725201,0.692
63,3.319,258.378,0.759416,0.729
64,3.423,261.800,0.788142,0.714
65,3.215,265.015,0.697857,0.705
66,3.522,268.538,0.664923,0.689
67,3.196,271.733,0.641399,0.700
68,3.355,275.088,0.711492,0.694
69,3.374,278.462,0.680985,0.720
70,3.531,281.993,0.752826,0.704
71,2.978,284.971,0.480011,0.258
72,2.893,287.864,0.527439,0.262
73,2.890,290.754,0.490717,0.253
74,3.113,293.867,0.479298,0.262
75,2.912,296.779,0.488664,0.258
76,2.950,299.729,0.475412,0.262
77,2.899,302.628,0.461571,0.262
78,3.184,305.812,0.515605,0.257
79,2.938,308.750,0.459637,0.262
80,2.960,311.711,0.501723,0.262
81,3.135,314.846,0.470982,0.262
82,2.914,317.760,0.482898,0.256
83,2.915,320.675,0.467618,0.262
84,2.874,323.549,0.452212,0.262
85,3.066,326.615,0.467362,0.257
86,2.875,329.490,0.449314,0.261
87,2.911,332.400,0.443311,0.262
88,2.915,335.315,0.472688,0.258
89,3.030,338.346,0.447865,0.262
90,2.916,341.262,0.446113,0.257
91,2.853,344.114,0.460765,0.261
92,2.876,346.990,0.451528,0.258
93,3.074,350.064,0.489460,0.257
94,2.962,353.025,0.462984,0.257
95,2.889,355.914,0.452911,0.262
96,2.893,358.807,0.458701,0.262
97,3.107,361.914,0.476663,0.256
98,2.932,364.846,0.433249,0.262
99,2.927,367.773,0.412553,0.256
100,2.919,370.692,0.445083,0.262
