epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.182,5.182,1.446565,1.890
2,4.608,9.791,1.212580,1.875
3,4.187,13.978,1.108488,1.853
4,4.541,18.518,1.202822,1.871
5,4.615,23.133,1.072281,1.869
6,4.466,27.599,1.161391,1.925
7,4.684,32.283,1.007603,1.826
8,3.318,35.601,0.747166,0.713
9,3.548,39.149,0.754829,0.704
10,3.320,42.469,0.887864,0.740
11,3.290,45.759,0.767360,0.712
12,3.473,49.231,0.849398,0.728
13,3.349,52.581,0.689382,0.739
14,3.314,55.894,0.821415,0.740
15,2.912,58.806,0.493220,0.254
16,3.102,61.909,0.475728,0.256
17,2.968,64.876,0.529061,0.261
18,2.913,67.789,0.501814,0.258
19,2.936,70.725,0.535430,0.261
20,3.084,73.809,0.490964,0.262
