epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,5.048,5.048,1.467348,0.722
2,25.613,30.661,1.305359,0.687
3,15.102,45.763,1.150953,0.672
4,4.802,50.565,1.154783,0.698
5,4.214,54.779,1.149861,0.687
6,4.719,59.497,1.052304,0.727
7,5.380,64.877,1.018566,0.716
8,3.986,68.863,1.066831,0.682
9,7.211,76.074,1.050060,0.753
10,36.716,112.790,1.079712,0.725
11,4.948,117.738,1.006207,0.715
12,4.887,122.626,1.024089,0.687
13,14.488,137.114,1.197836,0.598
14,6.957,144.071,1.067461,0.667
15,20.263,164.334,1.050174,0.702
16,4.749,169.083,1.003194,0.675
17,5.609,174.691,0.949110,0.680
18,3.605,178.297,1.031949,1.453
19,4.030,182.326,1.007900,1.485
20,4.188,186.514,0.899148,1.330
21,4.074,190.588,1.001968,1.393
22,4.537,195.125,1.079215,1.396
23,4.245,199.370,1.127018,1.238
24,4.720,204.091,1.023637,1.396
25,4.442,208.533,0.969980,1.373
26,3.993,212.525,1.003869,1.412
27,4.090,216.616,0.960176,1.309
28,4.089,220.705,0.923076,1.289
29,4.422,225.127,1.007010,1.553
30,4.204,229.332,1.120076,1.334
31,3.932,233.264,0.987245,1.290
32,4.730,237.994,1.014958,1.423
33,4.742,242.736,1.053797,1.317
34,4.176,246.912,1.054445,1.206
35,4.690,251.602,0.931691,1.332
36,4.463,256.065,0.983053,1.942
37,4.584,260.648,0.788479,2.002
38,4.576,265.224,1.008007,2.082
39,4.805,270.029,1.012229,1.921
40,4.349,274.378,0.904066,1.907
41,4.619,278.997,1.026309,2.014
42,4.963,283.959,1.180144,1.771
43,4.542,288.502,0.978174,1.944
44,4.349,292.851,0.973846,1.983
45,4.351,297.202,1.041484,1.789
46,4.794,301.996,1.080542,2.087
47,4.343,306.338,0.899591,1.824
48,4.319,310.657,1.093335,1.901
49,4.637,315.295,1.015921,1.887
50,4.409,319.704,0.984124,1.970
