step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,35.891,35.891,0.714609,1.568
200,33.665,69.556,0.693582,1.544
300,32.399,101.955,0.693495,1.580
400,29.501,131.456,0.693358,1.581
500,43.167,174.624,0.693373,1.566
600,33.853,208.477,0.686517,1.579
700,33.036,241.513,0.693475,1.582
800,33.757,275.270,0.693416,1.582
900,65.655,340.926,0.693183,1.582
1000,75.357,416.283,0.693393,1.582
1100,35.925,452.208,0.686573,1.570
1200,35.663,487.871,0.693409,1.579
1300,36.633,524.504,0.697110,1.567
1400,32.235,556.739,0.693343,1.582
1500,29.610,586.349,0.693369,1.579
1600,32.838,619.187,0.693511,1.582
1700,31.641,650.828,0.693313,1.567
1800,31.822,682.650,0.693287,1.582
1900,32.413,715.064,0.693361,1.577
2000,32.216,747.280,0.693515,1.582
2100,35.180,782.460,0.693800,1.582
2200,33.982,816.442,0.693280,1.567
2300,33.094,849.535,0.693259,1.582
2400,32.596,882.131,0.693444,1.577
2500,32.390,914.522,0.693480,1.582
