step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,37.416,37.416,0.557030,0.924
200,47.962,85.379,0.502489,0.920
300,47.654,133.033,0.505436,0.920
400,37.985,171.017,0.496447,0.912
500,39.471,210.488,0.500788,0.920
600,34.958,245.446,0.502845,0.923
700,36.359,281.805,0.489251,0.920
800,37.208,319.013,0.488272,0.923
900,42.511,361.524,0.494896,0.923
1000,38.340,399.863,0.486177,0.923
1100,37.884,437.747,0.476040,0.923
1200,41.575,479.322,0.481043,0.923
1300,39.679,519.001,0.483265,0.923
1400,38.412,557.413,0.480245,0.923
1500,41.895,599.307,0.488932,0.923
1600,37.648,636.955,0.479620,0.920
1700,40.454,677.409,0.482159,0.923
1800,43.001,720.410,0.482413,0.920
1900,42.679,763.089,0.475476,0.912
2000,36.878,799.967,0.476099,0.920
2100,42.670,842.636,0.479568,0.923
2200,40.523,883.159,0.481895,0.923
2300,39.610,922.769,0.472452,0.920
2400,43.168,965.937,0.480947,0.898
2500,38.620,1004.557,0.467504,0.920
2600,41.085,1045.642,0.481829,0.920
2700,35.186,1080.828,0.485642,0.923
2800,36.109,1116.937,0.474669,0.920
2900,40.422,1157.359,0.472712,0.920
3000,34.433,1191.792,0.480711,0.923
3100,43.420,1235.212,0.481853,0.920
3200,34.739,1269.951,0.464752,0.923
3300,44.432,1314.383,0.478513,0.920
3400,44.396,1358.779,0.473885,0.923
3500,36.497,1395.275,0.473565,0.923
3600,37.490,1432.765,0.480867,0.923
3700,43.070,1475.835,0.474008,0.920
3800,38.080,1513.915,0.483390,0.920
3900,38.727,1552.642,0.479853,0.920
4000,44.581,1597.223,0.480388,0.912
4100,42.094,1639.316,0.470396,0.923
4200,42.660,1681.976,0.466629,0.923
4300,36.575,1718.552,0.470649,0.904
4400,35.655,1754.207,0.468287,0.923
4500,35.636,1789.843,0.464395,0.923
4600,36.951,1826.793,0.478768,0.909
4700,40.344,1867.138,0.475854,0.920
4800,40.544,1907.681,0.483430,0.920
4900,36.162,1943.843,0.481416,0.923
5000,37.005,1980.849,0.471331,0.923
5100,38.064,2018.912,0.479144,0.920
5200,42.329,2061.241,0.478527,0.904
5300,37.621,2098.862,0.474351,0.920
5400,38.669,2137.531,0.468932,0.920
5500,36.397,2173.927,0.480420,0.920
5600,37.532,2211.460,0.478102,0.923
5700,37.074,2248.534,0.471708,0.912
5800,37.265,2285.799,0.477135,0.923
5900,36.767,2322.566,0.460698,0.920
6000,34.038,2356.604,0.473819,0.923
6100,38.616,2395.219,0.481948,0.923
6200,42.448,2437.667,0.479763,0.923
6300,45.506,2483.174,0.468921,0.920
6400,41.140,2524.313,0.474058,0.920
6500,51.271,2575.584,0.468636,0.920
6600,39.269,2614.853,0.477357,0.920
6700,44.496,2659.349,0.478134,0.920
6800,43.691,2703.040,0.465110,0.920
6900,44.469,2747.509,0.491397,0.923
7000,39.980,2787.489,0.486068,0.920
7100,43.635,2831.124,0.471922,0.920
7200,45.822,2876.946,0.468858,0.920
7300,40.263,2917.209,0.470241,0.923
7400,41.866,2959.075,0.470341,0.912
7500,39.095,2998.171,0.466746,0.920
7600,45.074,3043.245,0.470197,0.923
7700,43.334,3086.579,0.469223,0.909
7800,43.089,3129.668,0.469472,0.923
7900,43.056,3172.724,0.478944,0.920
8000,40.273,3212.997,0.474237,0.923
8100,41.711,3254.708,0.467368,0.920
8200,48.596,3303.304,0.476002,0.920
8300,41.749,3345.052,0.474330,0.920
8400,39.761,3384.813,0.455978,0.923
8500,46.508,3431.322,0.488014,0.920
8600,37.552,3468.874,0.470863,0.920
8700,42.557,3511.431,0.470589,0.923
8800,43.827,3555.258,0.472876,0.923
8900,43.086,3598.344,0.465832,0.901
9000,38.676,3637.020,0.471321,0.923
9100,45.646,3682.666,0.474594,0.923
9200,47.875,3730.541,0.477974,0.923
9300,46.358,3776.899,0.467702,0.920
9400,36.487,3813.387,0.479364,0.920
9500,39.026,3852.412,0.476160,0.920
9600,47.548,3899.960,0.463511,0.920
9700,42.958,3942.918,0.467422,0.923
9800,42.001,3984.919,0.469591,0.923
9900,44.839,4029.758,0.469323,0.923
10000,34.883,4064.641,0.464929,0.920
