step,toy_roc_auc
100,0.9087
200,0.8968
300,0.9286
400,0.9550
500,0.9735
600,0.9841
700,0.9907
800,0.9934
900,0.9934
1000,0.9947
1100,0.9934
1200,0.9934
1300,0.9934
1400,0.9947
1500,0.9947
1600,0.9947
1700,0.9947
1800,0.9960
1900,0.9960
2000,0.9947
2100,0.9947
2200,0.9921
2300,0.9921
2400,0.9921
2500,0.9921
2600,0.9921
2700,0.9921
2800,0.9921
2900,0.9921
3000,0.9907
3100,0.9907
3200,0.9907
3300,0.9907
3400,0.9907
3500,0.9907
3600,0.9921
3700,0.9921
3800,0.9921
3900,0.9921
4000,0.9921
4100,0.9934
4200,0.9934
4300,0.9934
4400,0.9934
4500,0.9934
4600,0.9947
4700,0.9947
4800,0.9947
4900,0.9960
5000,0.9974
5100,0.9960
5200,0.9974
5300,0.9974
5400,0.9974
5500,0.9974
5600,0.9960
5700,0.9960
5800,0.9974
5900,0.9974
6000,0.9974
6100,0.9974
6200,0.9987
6300,0.9987
6400,0.9987
6500,0.9987
6600,0.9974
6700,0.9974
6800,0.9974
6900,0.9974
7000,0.9974
7100,0.9987
7200,0.9987
7300,0.9987
7400,0.9987
7500,0.9987
7600,0.9987
7700,0.9987
7800,0.9987
7900,0.9987
8000,0.9987
8100,0.9987
8200,0.9987
8300,0.9987
8400,0.9987
8500,0.9987
8600,0.9987
8700,0.9987
8800,0.9987
8900,0.9987
9000,0.9987
9100,0.9987
9200,0.9987
9300,0.9987
9400,0.9987
9500,0.9987
9600,0.9987
9700,0.9987
9800,0.9987
9900,0.9987
10000,0.9987
