step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,50.872,50.872,0.557034,0.924
200,45.883,96.756,0.509983,0.924
300,53.148,149.904,0.504467,0.917
400,46.575,196.478,0.500664,0.920
500,49.317,245.796,0.498057,0.924
600,54.092,299.887,0.487951,0.924
700,47.755,347.642,0.487068,0.924
800,50.113,397.755,0.486661,0.920
900,42.528,440.283,0.481505,0.917
1000,45.855,486.137,0.487712,0.911
1100,45.834,531.972,0.473021,0.920
1200,42.580,574.552,0.487551,0.924
1300,52.570,627.122,0.481450,0.926
1400,52.877,679.999,0.483875,0.926
1500,51.797,731.796,0.484849,0.919
1600,43.095,774.891,0.482731,0.922
1700,44.931,819.822,0.487278,0.926
1800,50.067,869.889,0.480191,0.926
1900,45.892,915.782,0.480901,0.926
2000,47.986,963.768,0.479698,0.922
2100,41.293,1005.061,0.476219,0.919
2200,42.918,1047.979,0.484447,0.912
2300,44.393,1092.372,0.468117,0.922
2400,41.813,1134.185,0.483565,0.926
2500,49.739,1183.924,0.478242,0.926
2600,53.133,1237.057,0.481336,0.926
2700,53.309,1290.366,0.481664,0.919
2800,45.774,1336.140,0.479190,0.922
2900,48.015,1384.155,0.484182,0.926
3000,52.759,1436.914,0.476727,0.926
3100,49.253,1486.167,0.477340,0.926
3200,51.207,1537.374,0.475308,0.922
3300,42.702,1580.077,0.472603,0.919
3400,44.585,1624.661,0.482088,0.912
3500,46.066,1670.727,0.464607,0.922
3600,43.160,1713.887,0.479921,0.926
3700,53.460,1767.347,0.475382,0.926
3800,56.132,1823.480,0.478796,0.926
3900,55.652,1879.132,0.478767,0.919
4000,50.006,1929.138,0.475846,0.922
4100,52.650,1981.788,0.480641,0.926
4200,55.684,2037.472,0.474688,0.926
4300,50.815,2088.287,0.474296,0.926
4400,53.937,2142.224,0.471528,0.922
4500,45.060,2187.284,0.469652,0.919
4600,48.900,2236.184,0.479683,0.912
4700,49.183,2285.367,0.462133,0.922
4800,45.107,2330.474,0.477519,0.926
4900,54.187,2384.661,0.473710,0.926
5000,48.075,2432.736,0.477874,0.926
5100,55.434,2488.169,0.478093,0.919
5200,50.778,2538.947,0.474985,0.922
5300,54.729,2593.676,0.479247,0.926
5400,58.891,2652.567,0.473890,0.926
5500,52.454,2705.021,0.473221,0.926
5600,54.923,2759.943,0.470041,0.922
5700,46.661,2806.604,0.467999,0.919
5800,49.426,2856.031,0.478210,0.912
5900,50.404,2906.435,0.460283,0.922
6000,46.359,2952.794,0.476142,0.926
6100,52.158,3004.952,0.472052,0.926
6200,46.217,3051.169,0.475864,0.926
6300,55.028,3106.197,0.476192,0.919
6400,53.479,3159.676,0.473173,0.922
6500,56.230,3215.906,0.476856,0.926
6600,59.024,3274.929,0.472155,0.926
6700,54.605,3329.535,0.471696,0.926
6800,60.704,3390.239,0.468546,0.922
6900,49.362,3439.601,0.466041,0.919
7000,50.220,3489.821,0.477737,0.912
7100,51.869,3541.690,0.458782,0.922
7200,48.604,3590.294,0.475146,0.926
7300,52.887,3643.181,0.470736,0.926
7400,53.736,3696.916,0.474842,0.926
7500,52.362,3749.279,0.475514,0.919
7600,46.479,3795.758,0.472025,0.922
7700,52.683,3848.441,0.475492,0.926
7800,53.487,3901.928,0.471250,0.926
7900,47.351,3949.279,0.471299,0.926
8000,49.695,3998.974,0.467645,0.922
8100,45.249,4044.223,0.465130,0.919
8200,45.705,4089.928,0.476847,0.912
8300,47.695,4137.623,0.457597,0.922
8400,45.618,4183.240,0.474247,0.926
8500,52.470,4235.710,0.470017,0.926
8600,60.699,4296.409,0.473920,0.926
8700,58.547,4354.956,0.474544,0.919
8800,52.539,4407.495,0.470858,0.922
8900,51.487,4458.982,0.474551,0.926
9000,59.309,4518.290,0.470361,0.926
9100,49.678,4567.968,0.470178,0.926
9200,52.800,4620.768,0.466611,0.922
9300,41.979,4662.747,0.464156,0.919
9400,45.065,4707.812,0.476120,0.912
9500,50.712,4758.524,0.456607,0.922
9600,48.243,4806.767,0.473394,0.926
9700,52.750,4859.517,0.469026,0.926
9800,46.646,4906.164,0.473390,0.926
9900,57.446,4963.609,0.474168,0.919
10000,56.220,5019.830,0.470436,0.922
