step,toy_roc_auc
100,0.1944
200,0.3029
300,0.9828
400,0.9881
500,0.9815
600,0.9881
700,0.9907
800,0.9921
900,0.9934
1000,0.9934
1100,0.9947
1200,0.9947
1300,0.9947
1400,0.9947
1500,0.9947
1600,0.9947
1700,0.9947
1800,0.9947
1900,0.9947
2000,0.9934
2100,0.9947
2200,0.9934
2300,0.9934
2400,0.9934
2500,0.9934
2600,0.9934
2700,0.9934
2800,0.9934
2900,0.9934
3000,0.9934
3100,0.9921
3200,0.9934
3300,0.9934
3400,0.9934
3500,0.9934
3600,0.9934
3700,0.9934
3800,0.9934
3900,0.9934
4000,0.9934
4100,0.9934
4200,0.9934
4300,0.9934
4400,0.9934
4500,0.9934
4600,0.9934
4700,0.9934
4800,0.9934
4900,0.9934
5000,0.9934
5100,0.9934
5200,0.9934
5300,0.9934
5400,0.9947
5500,0.9947
5600,0.9947
5700,0.9947
5800,0.9947
5900,0.9947
6000,0.9960
6100,0.9960
6200,0.9960
6300,0.9960
6400,0.9960
6500,0.9960
6600,0.9960
6700,0.9960
6800,0.9974
6900,0.9974
7000,0.9974
7100,0.9974
7200,0.9974
7300,0.9974
7400,0.9974
7500,0.9974
7600,0.9974
7700,0.9974
7800,0.9974
7900,0.9974
8000,0.9974
8100,0.9974
8200,0.9974
8300,0.9974
8400,0.9974
8500,0.9974
8600,0.9974
8700,0.9974
8800,0.9960
8900,0.9960
9000,0.9960
9100,0.9960
9200,0.9960
9300,0.9960
9400,0.9960
9500,0.9960
9600,0.9960
9700,0.9960
9800,0.9960
9900,0.9960
10000,0.9960
