step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,40.705,40.705,0.550095,0.566
200,42.343,83.048,0.522008,0.562
300,40.185,123.234,0.519522,0.566
400,41.401,164.635,0.520070,0.566
500,43.396,208.031,0.522779,0.566
600,45.748,253.779,0.525959,0.567
700,48.670,302.449,0.516918,0.563
800,46.356,348.805,0.516527,0.567
900,47.784,396.589,0.516264,0.567
1000,44.706,441.295,0.518508,0.567
1100,38.101,479.396,0.523118,0.567
1200,37.359,516.755,0.515087,0.563
1300,35.497,552.252,0.514650,0.567
1400,36.921,589.172,0.514621,0.567
1500,36.963,626.135,0.517333,0.567
1600,35.488,661.623,0.522317,0.567
1700,35.965,697.588,0.514205,0.563
1800,33.456,731.044,0.513793,0.567
1900,35.152,766.197,0.513686,0.567
2000,36.427,802.624,0.516072,0.567
2100,37.066,839.690,0.521644,0.567
2200,37.206,876.897,0.512965,0.563
2300,33.653,910.550,0.512727,0.567
2400,34.408,944.958,0.512705,0.567
2500,37.227,982.184,0.515145,0.567
