epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,38.399,38.399,1.089795,0.932
2,44.269,82.668,0.996876,0.937
3,38.267,120.935,0.981073,0.927
4,37.996,158.931,0.953160,0.931
5,40.300,199.231,0.959996,0.931
6,38.099,237.331,0.975181,0.914
7,35.956,273.287,0.956856,0.931
8,31.214,304.501,0.951390,0.931
9,29.169,333.670,0.943810,0.927
10,39.015,372.685,0.966897,0.937
11,36.436,409.121,0.941438,0.936
12,39.737,448.858,0.944854,0.916
13,33.450,482.308,0.943770,0.927
14,34.592,516.900,0.941729,0.937
15,42.483,559.383,0.941452,0.927
16,39.963,599.346,0.919958,0.914
17,41.718,641.064,0.903523,0.937
18,37.173,678.237,0.906279,0.930
19,37.829,716.066,0.927986,0.937
20,41.879,757.945,0.926002,0.936
21,35.303,793.248,0.885862,0.912
22,37.044,830.292,0.944555,0.931
23,33.787,864.079,0.922589,0.937
24,35.434,899.513,0.906567,0.936
25,37.616,937.129,0.931597,0.936
