step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,85.346,85.346,1.096416,0.000
200,86.253,171.600,1.006288,0.000
300,85.457,257.057,0.968721,0.000
400,89.856,346.913,0.940523,0.000
500,83.601,430.514,0.961846,0.000
600,83.007,513.521,0.971562,0.000
700,85.916,599.437,0.955574,0.000
800,85.625,685.061,0.953932,0.000
900,82.797,767.858,0.950563,0.000
1000,85.405,853.263,0.936754,0.000
1100,86.334,939.596,0.941805,0.000
1200,87.808,1027.405,0.937229,0.000
1300,88.946,1116.350,0.947540,0.000
1400,90.501,1206.851,0.940602,0.000
1500,81.300,1288.152,0.937687,0.000
1600,89.092,1377.244,0.911319,0.000
1700,81.484,1458.728,0.945626,0.000
1800,84.789,1543.517,0.946388,0.000
1900,89.626,1633.143,0.961581,0.000
2000,101.760,1734.903,0.954005,0.000
2100,100.547,1835.450,0.929313,0.000
2200,92.933,1928.383,0.910723,0.000
2300,96.263,2024.646,0.948554,0.000
2400,85.949,2110.595,0.932538,0.000
2500,84.952,2195.547,0.937197,0.000
