step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,43.908,43.908,0.533054,0.051
200,42.367,86.275,0.492851,0.102
300,42.225,128.500,0.488650,0.102
400,42.079,170.578,0.480223,0.102
500,48.815,219.393,0.473000,0.052
600,43.704,263.096,0.472039,0.103
700,43.541,306.637,0.476526,0.103
800,43.511,350.149,0.475269,0.103
900,43.085,393.234,0.476687,0.052
1000,42.728,435.962,0.472454,0.103
1100,42.636,478.599,0.470720,0.103
1200,42.771,521.369,0.474802,0.103
1300,43.119,564.488,0.471772,0.052
1400,43.039,607.526,0.466356,0.103
1500,42.935,650.462,0.469646,0.103
1600,42.972,693.433,0.471950,0.103
1700,43.308,736.741,0.474780,0.052
1800,43.079,779.820,0.473187,0.103
1900,42.710,822.530,0.469714,0.103
2000,42.773,865.303,0.464493,0.103
2100,43.625,908.928,0.465940,0.052
2200,43.500,952.428,0.466683,0.103
2300,43.170,995.598,0.466337,0.103
2400,43.134,1038.732,0.463283,0.103
2500,43.173,1081.905,0.463566,0.052
2600,42.672,1124.577,0.462447,0.103
2700,42.501,1167.078,0.470942,0.103
2800,42.466,1209.544,0.462445,0.103
2900,48.582,1258.126,0.467031,0.052
3000,54.429,1312.556,0.466588,0.103
3100,47.320,1359.876,0.454952,0.103
3200,46.804,1406.679,0.463509,0.103
3300,42.668,1449.347,0.462231,0.052
3400,42.286,1491.633,0.458214,0.103
3500,42.255,1533.889,0.460365,0.103
3600,42.104,1575.993,0.466644,0.103
3700,44.277,1620.270,0.463053,0.052
3800,43.145,1663.415,0.466673,0.103
3900,43.436,1706.850,0.464053,0.103
4000,43.260,1750.110,0.466933,0.103
4100,42.530,1792.640,0.467414,0.052
4200,42.128,1834.768,0.460100,0.103
4300,42.048,1876.816,0.461839,0.103
4400,42.044,1918.860,0.465306,0.103
4500,45.122,1963.982,0.462255,0.051
4600,43.082,2007.065,0.466906,0.104
4700,42.953,2050.017,0.456855,0.104
4800,42.880,2092.897,0.460185,0.104
4900,43.579,2136.476,0.458754,0.052
5000,43.336,2179.812,0.456590,0.103
5100,43.099,2222.911,0.455615,0.103
5200,43.118,2266.029,0.467461,0.103
5300,43.255,2309.284,0.464285,0.052
5400,43.036,2352.320,0.467384,0.103
5500,43.149,2395.469,0.465201,0.103
5600,42.710,2438.179,0.459287,0.103
5700,43.358,2481.537,0.460437,0.051
5800,43.061,2524.599,0.458007,0.104
5900,43.147,2567.746,0.463203,0.104
6000,42.826,2610.572,0.461098,0.104
6100,49.242,2659.814,0.461875,0.052
6200,47.257,2707.072,0.455921,0.103
6300,47.094,2754.166,0.465292,0.103
6400,47.077,2801.243,0.465039,0.103
6500,42.491,2843.734,0.463173,0.051
6600,42.085,2885.820,0.456603,0.104
6700,41.921,2927.741,0.464519,0.104
6800,41.888,2969.629,0.460101,0.104
6900,52.107,3021.736,0.458402,0.052
7000,49.987,3071.722,0.461529,0.103
7100,47.803,3119.525,0.464816,0.103
7200,52.394,3171.919,0.457208,0.103
7300,43.387,3215.306,0.461371,0.052
7400,42.974,3258.280,0.465333,0.103
7500,42.787,3301.068,0.462639,0.103
7600,42.834,3343.901,0.460744,0.103
7700,43.598,3387.499,0.456461,0.052
7800,43.165,3430.663,0.463429,0.103
7900,43.184,3473.847,0.457409,0.103
8000,43.043,3516.890,0.460107,0.103
8100,43.170,3560.060,0.457310,0.052
8200,42.555,3602.615,0.458295,0.103
8300,42.318,3644.933,0.458709,0.103
8400,42.309,3687.242,0.461992,0.103
8500,43.785,3731.027,0.458847,0.052
8600,44.048,3775.075,0.460730,0.103
8700,43.873,3818.948,0.462822,0.103
8800,43.786,3862.734,0.456310,0.103
8900,43.200,3905.934,0.457986,0.051
9000,42.926,3948.860,0.453308,0.104
9100,42.833,3991.693,0.464418,0.104
9200,42.696,4034.388,0.463054,0.104
9300,43.186,4077.574,0.464555,0.052
9400,42.731,4120.305,0.457238,0.103
9500,42.802,4163.107,0.458915,0.103
9600,42.636,4205.743,0.463829,0.103
9700,42.418,4248.161,0.459555,0.052
9800,42.009,4290.169,0.463597,0.103
9900,41.968,4332.137,0.458571,0.103
10000,41.896,4374.034,0.460426,0.103
