step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,44.022,44.022,0.536636,0.051
200,42.170,86.192,0.501632,0.102
300,42.052,128.244,0.491223,0.102
400,41.998,170.242,0.501216,0.102
500,44.844,215.086,0.489055,0.052
600,42.919,258.005,0.478048,0.103
700,42.767,300.772,0.472597,0.103
800,42.786,343.558,0.470274,0.103
900,43.771,387.329,0.471217,0.052
1000,43.481,430.810,0.468690,0.103
1100,43.121,473.932,0.467431,0.103
1200,43.117,517.048,0.470544,0.103
1300,43.534,560.582,0.463956,0.051
1400,43.179,603.761,0.470868,0.104
1500,43.354,647.114,0.503949,0.104
1600,43.151,690.266,0.486364,0.104
1700,45.319,735.585,0.469505,0.052
1800,43.559,779.144,0.468098,0.103
1900,43.553,822.696,0.467943,0.103
2000,43.595,866.291,0.463688,0.103
2100,44.638,910.929,0.464051,0.052
2200,43.959,954.889,0.464727,0.103
2300,43.616,998.505,0.459084,0.103
2400,43.668,1042.173,0.467363,0.103
2500,43.024,1085.197,0.466789,0.052
2600,42.494,1127.691,0.463513,0.103
2700,42.181,1169.872,0.456490,0.103
2800,42.186,1212.059,0.455666,0.103
2900,44.070,1256.129,0.485901,0.052
3000,42.215,1298.345,0.463687,0.103
3100,41.895,1340.239,0.459713,0.103
3200,42.644,1382.883,0.457317,0.103
3300,43.045,1425.928,0.465592,0.052
3400,42.711,1468.639,0.457670,0.103
3500,42.981,1511.620,0.460387,0.103
3600,42.753,1554.373,0.454152,0.103
3700,42.621,1596.994,0.455914,0.052
3800,42.134,1639.128,0.454535,0.103
3900,42.052,1681.180,0.456362,0.103
4000,41.941,1723.121,0.457111,0.103
4100,42.844,1765.965,0.461362,0.052
4200,42.433,1808.398,0.451703,0.103
4300,42.343,1850.741,0.461175,0.103
4400,42.253,1892.994,0.460513,0.103
4500,43.033,1936.027,0.460248,0.052
4600,42.666,1978.693,0.454760,0.103
4700,42.515,2021.208,0.452098,0.103
4800,42.532,2063.740,0.454716,0.103
4900,42.758,2106.498,0.450096,0.051
5000,42.463,2148.961,0.452858,0.104
5100,42.318,2191.279,0.458286,0.104
5200,42.339,2233.618,0.458694,0.104
5300,43.708,2277.326,0.457278,0.052
5400,43.314,2320.640,0.461179,0.103
5500,43.107,2363.747,0.451793,0.103
5600,43.079,2406.826,0.453913,0.103
5700,42.791,2449.617,0.455509,0.052
5800,42.252,2491.869,0.455602,0.103
5900,42.078,2533.947,0.455891,0.103
6000,42.111,2576.058,0.454339,0.103
6100,44.733,2620.791,0.454452,0.052
6200,42.739,2663.530,0.456684,0.103
6300,42.631,2706.161,0.460819,0.103
6400,42.660,2748.822,0.453460,0.103
6500,43.532,2792.354,0.450344,0.052
6600,43.062,2835.416,0.457124,0.103
6700,42.731,2878.147,0.452910,0.103
6800,42.719,2920.866,0.453967,0.103
6900,54.809,2975.675,0.454138,0.051
7000,46.045,3021.720,0.449231,0.104
7100,52.011,3073.731,0.456873,0.104
7200,54.175,3127.906,0.454986,0.104
7300,42.812,3170.718,0.460588,0.052
7400,42.504,3213.222,0.454916,0.103
7500,42.394,3255.616,0.456611,0.103
7600,42.254,3297.870,0.447875,0.103
7700,43.024,3340.894,0.455846,0.051
7800,41.990,3382.883,0.454071,0.104
7900,41.786,3424.669,0.455448,0.104
8000,41.715,3466.384,0.454941,0.104
8100,43.417,3509.801,0.452063,0.052
8200,43.250,3553.050,0.456497,0.103
8300,42.487,3595.537,0.461859,0.103
8400,42.667,3638.205,0.450775,0.103
8500,42.768,3680.973,0.452254,0.052
8600,42.367,3723.340,0.457585,0.103
8700,42.340,3765.680,0.455140,0.103
8800,42.298,3807.978,0.453725,0.103
8900,43.411,3851.389,0.448313,0.052
9000,43.054,3894.443,0.454798,0.103
9100,42.889,3937.331,0.454818,0.103
9200,42.856,3980.187,0.444526,0.103
9300,43.453,4023.640,0.452191,0.052
9400,42.956,4066.596,0.454040,0.103
9500,42.868,4109.464,0.457314,0.103
9600,43.008,4152.472,0.450495,0.103
9700,43.147,4195.619,0.450708,0.052
9800,42.918,4238.537,0.451020,0.103
9900,42.699,4281.237,0.465790,0.103
10000,42.520,4323.757,0.454160,0.103
