step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,44.413,44.413,0.533559,0.051
200,42.806,87.219,0.474588,0.102
300,42.634,129.853,0.454999,0.102
400,42.615,172.468,0.443195,0.102
500,43.062,215.530,0.441267,0.052
600,42.710,258.240,0.453704,0.103
700,43.388,301.628,0.453679,0.103
800,42.502,344.130,0.450230,0.103
900,43.629,387.759,0.464741,0.052
1000,43.060,430.820,0.459500,0.103
1100,42.864,473.684,0.448468,0.103
1200,42.859,516.543,0.463596,0.103
1300,42.967,559.510,0.464186,0.051
1400,43.057,602.567,0.469131,0.104
1500,42.685,645.252,0.466289,0.104
1600,42.542,687.794,0.462905,0.104
1700,54.644,742.438,0.457580,0.052
1800,52.874,795.312,0.454370,0.103
1900,52.561,847.873,0.454996,0.103
2000,44.479,892.352,0.451985,0.103
2100,43.017,935.369,0.457012,0.052
2200,42.624,977.993,0.454183,0.103
2300,42.621,1020.614,0.454340,0.103
2400,42.515,1063.129,0.456882,0.103
2500,43.297,1106.426,0.462954,0.052
2600,42.701,1149.127,0.459411,0.103
2700,42.724,1191.852,0.464337,0.103
2800,42.871,1234.722,0.458735,0.103
2900,42.666,1277.388,0.474253,0.052
3000,42.359,1319.747,0.467737,0.103
3100,42.444,1362.192,0.468454,0.103
3200,42.334,1404.526,0.471955,0.103
3300,43.222,1447.748,0.456277,0.052
3400,43.221,1490.969,0.458905,0.103
3500,42.564,1533.533,0.452972,0.103
3600,42.405,1575.938,0.458836,0.103
3700,42.978,1618.916,0.459423,0.052
3800,42.734,1661.649,0.460718,0.103
3900,42.608,1704.257,0.463972,0.103
4000,42.743,1747.000,0.454135,0.103
4100,43.501,1790.501,0.470133,0.052
4200,43.082,1833.583,0.463117,0.103
4300,42.868,1876.451,0.462004,0.103
4400,42.840,1919.291,0.465462,0.103
4500,43.400,1962.691,0.473001,0.052
4600,43.077,2005.768,0.474356,0.103
4700,42.981,2048.749,0.472075,0.103
4800,42.863,2091.612,0.470918,0.103
4900,43.924,2135.536,0.471394,0.052
5000,44.310,2179.846,0.466810,0.103
5100,45.149,2224.995,0.469962,0.103
5200,45.248,2270.243,0.470181,0.103
5300,48.305,2318.548,0.472576,0.052
5400,48.142,2366.690,0.468430,0.103
5500,52.126,2418.816,0.466731,0.103
5600,52.930,2471.746,0.468576,0.103
5700,43.220,2514.966,0.462656,0.052
5800,43.044,2558.010,0.474782,0.103
5900,42.971,2600.982,0.461592,0.103
6000,42.991,2643.973,0.466258,0.103
6100,43.446,2687.419,0.470515,0.051
6200,42.982,2730.401,0.474386,0.104
6300,42.864,2773.265,0.463759,0.104
6400,42.917,2816.182,0.461935,0.104
6500,43.032,2859.214,0.475778,0.051
6600,42.974,2902.188,0.474788,0.104
6700,42.697,2944.885,0.470892,0.104
6800,42.631,2987.516,0.467106,0.104
6900,43.260,3030.776,0.467648,0.052
7000,42.846,3073.622,0.468917,0.103
7100,42.746,3116.368,0.469846,0.103
7200,42.729,3159.097,0.467895,0.103
7300,43.286,3202.383,0.475271,0.052
7400,42.950,3245.334,0.469446,0.103
7500,42.794,3288.127,0.474287,0.103
7600,42.481,3330.608,0.474715,0.103
7700,43.204,3373.812,0.465781,0.052
7800,42.778,3416.590,0.466973,0.103
7900,43.264,3459.854,0.474598,0.103
8000,43.181,3503.034,0.462259,0.103
8100,53.193,3556.227,0.471823,0.052
8200,52.630,3608.856,0.470271,0.103
8300,52.454,3661.311,0.465326,0.103
8400,43.461,3704.772,0.470594,0.103
8500,52.089,3756.861,0.467800,0.052
8600,52.032,3808.893,0.460399,0.103
8700,51.847,3860.740,0.469645,0.103
8800,51.848,3912.589,0.475735,0.103
8900,53.053,3965.642,0.467997,0.052
9000,52.648,4018.290,0.466265,0.103
9100,50.464,4068.753,0.463667,0.103
9200,52.661,4121.414,0.471656,0.103
9300,43.905,4165.319,0.467256,0.052
9400,44.292,4209.611,0.464583,0.103
9500,45.807,4255.418,0.470763,0.103
9600,48.019,4303.437,0.465473,0.103
9700,53.646,4357.083,0.465842,0.051
9800,47.829,4404.913,0.467684,0.104
9900,49.019,4453.931,0.462895,0.104
10000,51.713,4505.644,0.467302,0.104
