step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,56.301,56.301,0.533559,0.051
200,56.495,112.796,0.474588,0.102
300,54.576,167.372,0.454999,0.102
400,49.772,217.144,0.443195,0.102
500,53.890,271.034,0.450914,0.052
600,56.955,327.989,0.451154,0.103
700,53.841,381.830,0.449962,0.103
800,53.067,434.897,0.452482,0.103
900,47.599,482.496,0.444443,0.051
1000,47.191,529.687,0.448879,0.104
1100,49.331,579.018,0.442947,0.104
1200,51.903,630.921,0.433505,0.104
1300,47.890,678.811,0.457804,0.052
1400,50.088,728.899,0.463305,0.103
1500,51.810,780.709,0.452517,0.103
1600,53.733,834.442,0.458589,0.103
1700,53.047,887.489,0.456719,0.051
1800,45.808,933.297,0.451424,0.104
1900,44.449,977.746,0.451117,0.104
2000,45.458,1023.204,0.451325,0.104
2100,42.478,1065.682,0.458661,0.052
2200,42.213,1107.896,0.457884,0.103
2300,42.032,1149.928,0.456043,0.103
2400,42.359,1192.287,0.452207,0.103
2500,42.563,1234.850,0.462991,0.052
2600,42.280,1277.131,0.461674,0.103
2700,42.153,1319.284,0.461127,0.103
2800,42.164,1361.447,0.457434,0.103
2900,52.227,1413.674,0.457785,0.051
3000,48.532,1462.206,0.453481,0.104
3100,43.924,1506.130,0.452582,0.104
3200,43.543,1549.673,0.451555,0.104
3300,43.835,1593.508,0.446172,0.051
3400,43.315,1636.823,0.442044,0.104
3500,43.222,1680.045,0.448289,0.104
3600,43.043,1723.089,0.445543,0.104
3700,43.119,1766.208,0.440634,0.052
3800,43.003,1809.211,0.449822,0.103
3900,42.683,1851.893,0.445882,0.103
4000,42.788,1894.681,0.449120,0.103
4100,43.266,1937.947,0.443371,0.052
4200,42.997,1980.943,0.442748,0.103
4300,42.985,2023.928,0.440689,0.103
4400,42.866,2066.794,0.444738,0.103
4500,43.557,2110.351,0.461005,0.052
4600,42.879,2153.230,0.458538,0.103
4700,42.689,2195.919,0.462065,0.103
4800,42.574,2238.493,0.459053,0.103
4900,43.301,2281.794,0.456497,0.051
5000,43.091,2324.885,0.460105,0.104
5100,42.951,2367.836,0.453135,0.104
5200,42.997,2410.833,0.467478,0.104
5300,43.499,2454.332,0.459258,0.051
5400,43.198,2497.530,0.453039,0.104
5500,42.965,2540.495,0.461179,0.104
5600,42.980,2583.475,0.457752,0.104
5700,43.418,2626.893,0.462064,0.052
5800,43.004,2669.897,0.466283,0.103
5900,42.795,2712.691,0.463518,0.103
6000,42.831,2755.523,0.463487,0.103
6100,43.562,2799.085,0.464655,0.052
6200,43.059,2842.144,0.462837,0.103
6300,42.813,2884.957,0.469316,0.103
6400,43.106,2928.063,0.463181,0.103
6500,44.757,2972.820,0.461045,0.052
6600,42.955,3015.775,0.462084,0.103
6700,42.805,3058.579,0.470143,0.103
6800,42.786,3101.365,0.461513,0.103
6900,52.045,3153.410,0.454670,0.052
7000,50.099,3203.508,0.451306,0.103
7100,57.038,3260.546,0.451887,0.103
7200,52.278,3312.824,0.452891,0.103
7300,42.821,3355.645,0.458103,0.052
7400,42.025,3397.670,0.450442,0.103
7500,41.843,3439.513,0.453386,0.103
7600,41.800,3481.313,0.450405,0.103
7700,43.281,3524.594,0.468126,0.052
7800,42.610,3567.204,0.461562,0.103
7900,42.970,3610.174,0.464951,0.103
8000,42.295,3652.469,0.465528,0.103
8100,43.090,3695.559,0.461780,0.052
8200,42.704,3738.262,0.461892,0.103
8300,42.249,3780.511,0.460938,0.103
8400,42.445,3822.957,0.466682,0.103
8500,51.304,3874.261,0.459697,0.052
8600,51.658,3925.919,0.464103,0.103
8700,52.647,3978.565,0.456773,0.103
8800,52.450,4031.016,0.462115,0.103
8900,43.138,4074.154,0.471676,0.052
9000,42.760,4116.913,0.468309,0.103
9100,42.570,4159.483,0.463566,0.103
9200,42.552,4202.035,0.470967,0.103
9300,47.599,4249.634,0.466808,0.052
9400,47.137,4296.771,0.464051,0.103
9500,51.930,4348.701,0.470217,0.103
9600,50.151,4398.852,0.465271,0.103
9700,49.010,4447.862,0.465759,0.051
9800,44.812,4492.674,0.466994,0.104
9900,43.498,4536.172,0.462539,0.104
10000,43.593,4579.765,0.467115,0.104
